Name,compass.sivers.piDY.dQ
Comment,COMPASS A_T pionDY (differential in Q)
Reference,1704.00488
Process type,DY
Number of points,3
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,2
List of norm.errors (relative),0.05,0.08
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
compass.sivers.piDY.dQ.0,2 - 2 - 10101,2 - 2 - 101,357.339165,4.51,4.3,4.75,0.31,-1.0,1.0,1.23,1e-07,5.0,0.032,0.122,1.0,False,25.0,25.0,-1.0,1.0
compass.sivers.piDY.dQ.1,2 - 2 - 10101,2 - 2 - 101,357.339165,5.08,4.75,5.5,0.32,-1.0,1.0,1.23,1e-07,5.0,-0.121,0.125,1.0,False,25.0,25.0,-1.0,1.0
compass.sivers.piDY.dQ.2,2 - 2 - 10101,2 - 2 - 101,357.339165,6.43,5.5,8.5,0.34,-1.0,1.0,1.25,1e-07,5.0,0.228,0.116,1.0,False,25.0,25.0,-1.0,1.0
