Name,compass.sivers.piDY.dqT
Comment,COMPASS A_T pionDY (differential in qT)
Reference,1704.00488
Process type,DY
Number of points,3
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,2
List of norm.errors (relative),0.05,0.08
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
compass.sivers.piDY.dqT.0,2 - 2 - 10101,2 - 2 - 101,357.339165,5.32,4.3,8.5,0.35,-1.0,1.0,0.66,0.0,0.9,0.085,0.12,1.0,False,25.0,25.0,-1.0,1.0
compass.sivers.piDY.dqT.1,2 - 2 - 10101,2 - 2 - 101,357.339165,5.33,4.3,8.5,0.33,-1.0,1.0,1.13,0.9,1.4,0.127,0.124,1.0,False,25.0,25.0,-1.0,1.0
compass.sivers.piDY.dqT.2,2 - 2 - 10101,2 - 2 - 101,357.339165,5.37,4.3,8.5,0.29,-1.0,1.0,1.97,1.4,5.0,-0.018,0.118,1.0,False,25.0,25.0,-1.0,1.0
