Name,compass16.sivers.h-.1<z<2.dx
Comment,COMPASS16 SSA-Sivers h-, 0.1<z<0.2 (differential in x)
Reference,1609.07374
Process type,SIDIS
Number of points,26
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.sivers.h-.1<z<2.dx.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.1269427669584644,1.0,2.0,0.006,0.003,0.008,0.14,0.1,0.2,0.46,0.1,10.0,0.0,0.008,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.2649110640673518,1.0,2.0,0.011,0.008,0.014,0.14,0.1,0.2,0.44,0.1,10.0,0.007,0.006,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3711309200802089,1.0,2.0,0.018,0.014,0.022,0.14,0.1,0.2,0.42,0.1,10.0,0.002,0.005,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.3,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.4142135623730951,1.0,2.0,0.028,0.022,0.035,0.14,0.1,0.2,0.38,0.1,10.0,0.006,0.005,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.4,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.5231546211727816,1.0,2.0,0.043,0.035,0.055,0.14,0.1,0.2,0.36,0.1,10.0,0.009,0.006,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.5,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.7146428199482247,1.0,2.0,0.07,0.055,0.105,0.15,0.1,0.2,0.33,0.1,10.0,0.004,0.009,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.6,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.905255888325765,1.0,2.0,0.11,0.105,0.145,0.15,0.1,0.2,0.31,0.1,10.0,-0.003,0.031,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.1213203435596424,2.0,2.5,0.02,0.014,0.022,0.14,0.1,0.2,0.47,0.1,10.0,0.061,0.031,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.2045407685048604,2.0,2.5,0.029,0.022,0.035,0.14,0.1,0.2,0.45,0.1,10.0,0.011,0.015,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dx.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.224859546128699,2.0,2.5,0.044,0.035,0.055,0.14,0.1,0.2,0.42,0.1,10.0,0.017,0.013,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
