Name,compass16.sivers.h-.1<z<2.dz
Comment,COMPASS16 SSA-Sivers h-, 0.1<z<0.2 (differential in z)
Reference,1609.07374
Process type,SIDIS
Number of points,20
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.sivers.h-.1<z<2.dz.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.025,0.0037017294479981047,0.13326226012793177,0.11,0.1,0.12,0.37,0.1,10.0,0.0,0.005,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.026,0.0037017294479981047,0.13326226012793177,0.13,0.12,0.14,0.39,0.1,10.0,0.011,0.005,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.026,0.0037017294479981047,0.13326226012793177,0.15,0.14,0.16,0.41,0.1,10.0,0.006,0.006,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.3,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.027,0.0037017294479981047,0.13326226012793177,0.17,0.16,0.18,0.42,0.1,10.0,0.008,0.006,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.4,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.027,0.0037017294479981047,0.13326226012793177,0.19,0.18,0.2,0.44,0.1,10.0,-0.002,0.007,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.062,0.014806917791992419,0.2082222814498934,0.11,0.1,0.12,0.37,0.1,10.0,0.017,0.012,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.065,0.014806917791992419,0.2082222814498934,0.13,0.12,0.14,0.39,0.1,10.0,0.007,0.013,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.066,0.014806917791992419,0.2082222814498934,0.15,0.14,0.16,0.41,0.1,10.0,0.032,0.014,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.3,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.067,0.014806917791992419,0.2082222814498934,0.17,0.16,0.18,0.42,0.1,10.0,0.029,0.016,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.4,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.2293496809607953,2.0,2.5,0.068,0.014806917791992419,0.2082222814498934,0.19,0.18,0.2,0.44,0.1,10.0,0.03,0.017,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.1<z<2.dz.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,3.0610455730027932,2.5,4.0,0.111,0.023135809049988153,0.5330490405117271,0.11,0.1,0.12,0.38,0.1,10.0,-0.0,0.012,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
