Name,compass16.sivers.h-.z>1.dz
Comment,COMPASS16 SSA-Sivers h-, z>0.1 (differential in z)
Reference,1609.07374
Process type,SIDIS
Number of points,20
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.sivers.h-.z>1.dz.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.026,0.0037017294479981047,0.13326226012793177,0.14,0.1,0.2,0.4,0.1,10.0,0.005,0.003,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.24,0.2,0.3,0.46,0.1,10.0,0.005,0.004,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3892443989449805,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.34,0.3,0.4,0.51,0.1,10.0,-0.006,0.005,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.3,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3820274961085253,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.48,0.4,0.6,0.54,0.1,10.0,-0.015,0.006,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.4,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3564659966250536,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.74,0.6,1.0,0.51,0.1,10.0,-0.006,0.008,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.065,0.014806917791992419,0.2082222814498934,0.14,0.1,0.2,0.4,0.1,10.0,0.021,0.006,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.07,0.014806917791992419,0.2082222814498934,0.24,0.2,0.3,0.47,0.1,10.0,-0.002,0.009,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.072,0.014806917791992419,0.2082222814498934,0.34,0.3,0.4,0.52,0.1,10.0,0.015,0.014,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.3,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.073,0.014806917791992419,0.2082222814498934,0.48,0.4,0.6,0.58,0.1,10.0,0.007,0.015,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>1.dz.4,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.2203603311174516,2.0,2.5,0.073,0.014806917791992419,0.2082222814498934,0.73,0.6,1.0,0.59,0.1,10.0,0.008,0.024,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
