Name,compass16.sivers.h-.z>2.dpt
Comment,COMPASS16 SSA-Sivers h-, z>0.2 (differential in pt)
Reference,1609.07374
Process type,SIDIS
Number of points,20
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.sivers.h-.z>2.dpt.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3820274961085253,1.0,2.0,0.029,0.0037017294479981047,0.13326226012793177,0.37,0.2,1.0,0.21,0.1,0.3,0.006,0.005,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3820274961085253,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.36,0.2,1.0,0.4,0.3,0.5,-0.008,0.004,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3892443989449805,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.36,0.2,1.0,0.61,0.5,0.75,-0.003,0.005,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.3,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.026,0.0037017294479981047,0.13326226012793177,0.38,0.2,1.0,0.85,0.75,1.0,-0.0,0.008,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.4,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,1.4,1.0,2.0,0.023,0.0037017294479981047,0.13326226012793177,0.41,0.2,1.0,1.26,1.0,10.0,-0.012,0.011,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.075,0.014806917791992419,0.2082222814498934,0.33,0.2,1.0,0.21,0.1,0.3,-0.001,0.013,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.1,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.074,0.014806917791992419,0.2082222814498934,0.34,0.2,1.0,0.4,0.3,0.5,0.007,0.012,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.2,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.07,0.014806917791992419,0.2082222814498934,0.35,0.2,1.0,0.61,0.5,0.75,0.018,0.013,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.3,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.065,0.014806917791992419,0.2082222814498934,0.38,0.2,1.0,0.85,0.75,1.0,-0.024,0.02,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.4,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,2.2293496809607953,2.0,2.5,0.056,0.014806917791992419,0.2082222814498934,0.41,0.2,1.0,1.27,1.0,10.0,0.01,0.027,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.sivers.h-.z>2.dpt.0,1 - 1 - 12111,1 - 1 - 2111,301.03984399999996,3.0446674695276656,2.5,4.0,0.132,0.023135809049988153,0.5330490405117271,0.32,0.2,1.0,0.21,0.1,0.3,0.017,0.013,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
