Name,hermes.sivers.k+.3d
Comment,HERMESS SSA-Sivers k+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.k+.3d.0,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2149074038789953,1.0,1.881910688635356,0.052,0.023,0.072,0.239,0.2,0.28,0.149,0.0,0.23,0.020173,0.077765,0.004338,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.1,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2393546707863734,1.0,1.881910688635356,0.048,0.023,0.072,0.237,0.2,0.28,0.297,0.23,0.36,-0.047758,0.073821,0.007604,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.2,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2461942063739504,1.0,1.881910688635356,0.046,0.023,0.072,0.239,0.2,0.28,0.444,0.36,0.54,0.089365,0.040048,0.010569,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.3,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2621410380777578,1.0,1.881910688635356,0.043,0.023,0.072,0.242,0.2,0.28,0.67,0.54,2.0,-0.037272,0.042297,0.009749,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.4,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.1995832609702421,1.0,1.881910688635356,0.054,0.023,0.072,0.321,0.28,0.37,0.15,0.0,0.23,0.023743,0.080321,0.012536,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.5,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2292273996295395,1.0,1.881910688635356,0.05,0.023,0.072,0.322,0.28,0.37,0.298,0.23,0.36,-0.028066,0.098432,0.009943,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.6,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2393546707863734,1.0,1.881910688635356,0.047,0.023,0.072,0.322,0.28,0.37,0.448,0.36,0.54,0.010559,0.060899,0.000569,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.7,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2497999839974394,1.0,1.881910688635356,0.044,0.023,0.072,0.326,0.28,0.37,0.722,0.54,2.0,0.040061,0.038865,0.00587,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.8,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.1949895397031725,1.0,1.881910688635356,0.055,0.023,0.072,0.422,0.37,0.49,0.148,0.0,0.23,0.027964,0.073263,0.005432,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.9,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.213672113875902,1.0,1.881910688635356,0.052,0.023,0.072,0.424,0.37,0.49,0.297,0.23,0.36,-0.04743,0.117034,0.007007,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.10,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2300406497347964,1.0,1.881910688635356,0.05,0.023,0.072,0.424,0.37,0.49,0.449,0.36,0.54,-0.000412,0.093341,0.017402,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.11,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.247397290361014,1.0,1.881910688635356,0.046,0.023,0.072,0.428,0.37,0.49,0.763,0.54,2.0,0.126214,0.04483,0.005862,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.12,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.192057045614848,1.0,1.881910688635356,0.057,0.023,0.072,0.572,0.49,0.7,0.15,0.0,0.23,0.096471,0.087044,0.021596,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.13,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.1983321743156194,1.0,1.881910688635356,0.054,0.023,0.072,0.573,0.49,0.7,0.298,0.23,0.36,0.297615,0.118044,0.00749,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.14,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2186057606953942,1.0,1.881910688635356,0.051,0.023,0.072,0.576,0.49,0.7,0.452,0.36,0.54,0.055865,0.120394,0.013257,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.15,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.2369316876852983,1.0,1.881910688635356,0.048,0.023,0.072,0.58,0.49,0.7,0.805,0.54,2.0,0.096884,0.053561,0.011086,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.16,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.4872793954062566,1.0,2.195562470074582,0.084,0.072,0.098,0.241,0.2,0.28,0.142,0.0,0.23,0.146569,0.072692,0.007535,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.17,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.5585249436566615,1.0,2.195562470074582,0.084,0.072,0.098,0.24,0.2,0.28,0.295,0.23,0.36,0.209832,0.083316,0.011601,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.18,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.5801898620102586,1.0,2.195562470074582,0.084,0.072,0.098,0.241,0.2,0.28,0.44,0.36,0.54,0.039312,0.071023,0.005337,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.19,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.6498484778912275,1.0,2.195562470074582,0.084,0.072,0.098,0.244,0.2,0.28,0.652,0.54,2.0,-0.045023,0.089959,0.010019,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.20,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.4078352176302453,1.0,2.195562470074582,0.084,0.072,0.098,0.323,0.28,0.37,0.142,0.0,0.23,0.054019,0.065623,0.000521,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k+.3d.21,1 - 1 - 12002,1 - 1 - 2002,52.657444,1.487615541731129,1.0,2.195562470074582,0.084,0.072,0.098,0.324,0.28,0.37,0.293,0.23,0.36,0.186505,0.100432,0.005862,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
