Name,hermes.sivers.k-.3d
Comment,HERMESS SSA-Sivers k- (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.k-.3d.0,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2157302332343307,1.0,1.881910688635356,0.051,0.023,0.072,0.236,0.2,0.28,0.152,0.0,0.23,0.128138,0.115584,0.000655,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.1,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2300406497347964,1.0,1.881910688635356,0.047,0.023,0.072,0.236,0.2,0.28,0.298,0.23,0.36,0.055399,0.084941,0.004208,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.2,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2409673645990857,1.0,1.881910688635356,0.045,0.023,0.072,0.237,0.2,0.28,0.444,0.36,0.54,-0.027877,0.04954,0.000406,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.3,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2688577540449522,1.0,1.881910688635356,0.043,0.023,0.072,0.242,0.2,0.28,0.666,0.54,2.0,0.014556,0.053176,0.000753,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.4,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.202913130695646,1.0,1.881910688635356,0.053,0.023,0.072,0.319,0.28,0.37,0.151,0.0,0.23,0.122137,0.105651,0.002031,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.5,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2251530516633422,1.0,1.881910688635356,0.049,0.023,0.072,0.32,0.28,0.37,0.296,0.23,0.36,0.118695,0.149183,0.007587,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.6,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2300406497347964,1.0,1.881910688635356,0.047,0.023,0.072,0.319,0.28,0.37,0.449,0.36,0.54,-0.005936,0.081222,0.002479,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.7,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2493998559308386,1.0,1.881910688635356,0.044,0.023,0.072,0.324,0.28,0.37,0.724,0.54,2.0,-0.015319,0.050337,0.008388,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.8,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.184483009586883,1.0,1.881910688635356,0.054,0.023,0.072,0.424,0.37,0.49,0.146,0.0,0.23,-0.036244,0.120009,0.012753,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.9,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2157302332343307,1.0,1.881910688635356,0.051,0.023,0.072,0.422,0.37,0.49,0.298,0.23,0.36,0.089469,0.168057,0.007978,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.k-.3d.10,1 - 1 - 12022,1 - 1 - 2022,52.657444,1.2353137253345807,1.0,1.881910688635356,0.049,0.023,0.072,0.423,0.37,0.49,0.448,0.36,0.54,-0.130288,0.136908,0.008971,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
