Name,hermes.sivers.pi+.3d
Comment,HERMESS SSA-Sivers pi+ (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi+.3d.0,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.2095453691366853,1.0,1.881910688635356,0.052,0.023,0.072,0.236,0.2,0.28,0.151,0.0,0.23,0.019564,0.025504,0.005683,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.1,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.230447073221762,1.0,1.881910688635356,0.048,0.023,0.072,0.235,0.2,0.28,0.298,0.23,0.36,0.028577,0.021038,0.002109,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.2,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.2421755109484327,1.0,1.881910688635356,0.046,0.023,0.072,0.237,0.2,0.28,0.443,0.36,0.54,0.036898,0.012949,0.004943,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.3,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.2621410380777578,1.0,1.881910688635356,0.043,0.023,0.072,0.242,0.2,0.28,0.655,0.54,2.0,0.022056,0.016187,0.004783,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.4,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.1966620241321273,1.0,1.881910688635356,0.054,0.023,0.072,0.32,0.28,0.37,0.15,0.0,0.23,0.027016,0.029614,0.000874,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.5,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.2181953866272848,1.0,1.881910688635356,0.05,0.023,0.072,0.32,0.28,0.37,0.297,0.23,0.36,0.012605,0.038685,0.005187,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.6,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.2320714265009152,1.0,1.881910688635356,0.047,0.023,0.072,0.32,0.28,0.37,0.449,0.36,0.54,0.029615,0.020937,0.00363,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.7,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.2489995996796797,1.0,1.881910688635356,0.045,0.023,0.072,0.323,0.28,0.37,0.699,0.54,2.0,0.026569,0.015625,0.006034,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.8,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.1836384583140243,1.0,1.881910688635356,0.055,0.023,0.072,0.422,0.37,0.49,0.151,0.0,0.23,0.005229,0.033427,0.00507,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi+.3d.9,1 - 1 - 12001,1 - 1 - 2001,52.657444,1.2045746137122433,1.0,1.881910688635356,0.051,0.023,0.072,0.422,0.37,0.49,0.298,0.23,0.36,0.043906,0.048504,0.000358,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
