Name,hermes.sivers.pi-.3d
Comment,HERMESS SSA-Sivers pi- (3d-data). The data MUST be evaluated at a point
Reference,2007.07755
Process type,SIDIS
Number of points,64
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.073
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.sivers.pi-.3d.0,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.2074767078498865,1.0,1.881910688635356,0.052,0.023,0.072,0.236,0.2,0.28,0.152,0.0,0.23,0.025607,0.029581,0.002632,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.1,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.2288205727444508,1.0,1.881910688635356,0.047,0.023,0.072,0.234,0.2,0.28,0.298,0.23,0.36,0.001914,0.022834,0.000555,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.2,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.2381437719424995,1.0,1.881910688635356,0.045,0.023,0.072,0.236,0.2,0.28,0.443,0.36,0.54,0.007848,0.014416,0.003905,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.3,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.2573782247199925,1.0,1.881910688635356,0.043,0.023,0.072,0.241,0.2,0.28,0.658,0.54,2.0,0.02369,0.018016,0.002459,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.4,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.1958260743101399,1.0,1.881910688635356,0.054,0.023,0.072,0.32,0.28,0.37,0.15,0.0,0.23,0.02057,0.034058,0.001019,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.5,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.2153188881935473,1.0,1.881910688635356,0.049,0.023,0.072,0.32,0.28,0.37,0.296,0.23,0.36,0.049923,0.043799,0.001526,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.6,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.2267844146385296,1.0,1.881910688635356,0.047,0.023,0.072,0.319,0.28,0.37,0.449,0.36,0.54,0.022111,0.022917,0.002446,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.7,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.2453915047084592,1.0,1.881910688635356,0.045,0.023,0.072,0.323,0.28,0.37,0.703,0.54,2.0,0.031783,0.01713,0.00215,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.8,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.182370500308596,1.0,1.881910688635356,0.055,0.023,0.072,0.422,0.37,0.49,0.152,0.0,0.23,0.062763,0.038357,0.00499,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
hermes.sivers.pi-.3d.9,1 - 1 - 12021,1 - 1 - 2021,52.657444,1.202497401244593,1.0,1.881910688635356,0.051,0.023,0.072,0.423,0.37,0.49,0.298,0.23,0.36,-0.064692,0.056068,0.002853,1.0,True,0.1,0.95,10.0,10000.0,0.938,0.139
