Name,jlab.sivers.pi+
Comment,JLab SSA-Sivers pi+. The data MUST be evaluated at a point
Reference,1106.0363
Process type,SIDIS
Number of points,4
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
jlab.sivers.pi+.5,1 - 1 - 12041,1 - 1 - 2041,11.948244,1.174734012447073,1.0,1.7,0.156,0.1,0.4,0.5,0.45,0.6,0.435,0.1,0.6,-0.011,0.125,0.028,1.0,False,0.1,0.95,2.3,10000.0,0.938,0.139
jlab.sivers.pi+.5,1 - 1 - 12041,1 - 1 - 2041,11.948244,1.3266499161421599,1.0,1.7,0.206,0.1,0.4,0.52,0.45,0.6,0.38,0.1,0.6,-0.108,0.138,0.039,1.0,False,0.1,0.95,2.3,10000.0,0.938,0.139
jlab.sivers.pi+.5,1 - 1 - 12041,1 - 1 - 2041,11.948244,1.469693845669907,1.0,1.7,0.265,0.1,0.4,0.54,0.45,0.6,0.32,0.1,0.6,-0.129,0.096,0.028,1.0,False,0.1,0.95,2.3,10000.0,0.938,0.139
jlab.sivers.pi+.5,1 - 1 - 12041,1 - 1 - 2041,11.948244,1.6370705543744901,1.0,1.7,0.349,0.1,0.4,0.58,0.45,0.6,0.24,0.1,0.6,-0.163,0.133,0.039,1.0,False,0.1,0.95,2.3,10000.0,0.938,0.139
