Name,star.sivers.Z
Comment,STAR AN for Z
Reference,1511.06003
Process type,DY
Number of points,1
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.034
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
star.sivers.Z.0,1 - 1 - 10005,1 - 1 - 5,250000.0,91.19,61.19,121.19,0.0,-0.8,0.8,5.25,0.5,10.0,0.6,0.33,1.0,False,25.0,25.0,-1.0,1.0
