Name,E537(pi)-dQ
Comment,E537 pi-data Q-differential
Reference,Phys.Rev.D 93 (1988) 1377
Process type,DY
Number of points,147
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.08
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E537(pi)-dQ.40TO45.0,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,0.3535533905932738,0.0,0.7071067811865476,0.0625,0.00527,0.003999999999999999,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.1,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,0.8535533905932737,0.7071067811865476,1.0,0.0436,0.0044,0.004000000000000001,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.2,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.1123724356957945,1.0,1.224744871391589,0.0317,0.00379,0.004000000000000002,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.3,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.3194792168823422,1.224744871391589,1.4142135623730951,0.0203,0.00299,0.003999999999999995,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.4,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.4976761962286425,1.4142135623730951,1.5811388300841898,0.0126,0.00236,0.004,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.5,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.6565948188265334,1.5811388300841898,1.7320508075688772,0.00595,0.00156,0.004000000000000007,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.6,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.801439750477924,1.7320508075688772,1.8708286933869707,0.00356,0.00133,0.003999999999999997,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.7,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.9354143466934852,1.8708286933869707,2.0,0.00328,0.00118,0.004,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.8,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.060660171779821,2.0,2.1213203435596424,0.00335,0.00121,0.004000000000000007,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.9,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.178694160529716,2.1213203435596424,2.23606797749979,0.00234,0.000985,0.003999999999999986,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.10,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.2906379287057526,2.23606797749979,2.345207879911715,0.00062,0.000444,0.004000000000000007,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.11,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.397348811347446,2.345207879911715,2.449489742783178,0.001,0.000727,0.004000000000000007,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.12,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.499499749789785,2.449489742783178,2.5495097567963922,0.00129,0.00068,0.004,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.13,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.5976305339304915,2.5495097567963922,2.6457513110645907,0.000249,0.000253,0.003999999999999986,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.40TO45.14,2 - 2 - 1004,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.6921820492952104,2.6457513110645907,2.7386127875258306,0.0,0.000287,0.004000000000000007,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.45TO50.0,2 - 2 - 1004,235.4,4.75,4.5,5.0,0.45,-0.1,1.0,0.3535533905932738,0.0,0.7071067811865476,0.0351,0.00382,0.003999999999999999,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.45TO50.1,2 - 2 - 1004,235.4,4.75,4.5,5.0,0.45,-0.1,1.0,0.8535533905932737,0.7071067811865476,1.0,0.0205,0.00287,0.004000000000000001,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.45TO50.2,2 - 2 - 1004,235.4,4.75,4.5,5.0,0.45,-0.1,1.0,1.1123724356957945,1.0,1.224744871391589,0.0133,0.0023,0.004000000000000002,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dQ.45TO50.3,2 - 2 - 1004,235.4,4.75,4.5,5.0,0.45,-0.1,1.0,1.3194792168823422,1.224744871391589,1.4142135623730951,0.00856,0.00178,0.003999999999999995,False,0.0,0.0,-1000.0,1000.0
