Name,E537(pi)-dxF
Comment,E537(pi) data xF-differential
Reference,Phys.Rev.D 93 (1988) 1377
Process type,DY
Number of points,165
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.08
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E537(pi)-dxF.-01TO0.0,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,0.3535533905932738,0.0,0.7071067811865476,0.122,0.0289,0.019999999999999993,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.1,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,0.8535533905932737,0.7071067811865476,1.0,0.0623,0.0192,0.020000000000000004,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.2,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.1123724356957945,1.0,1.224744871391589,0.0507,0.0174,0.020000000000000007,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.3,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.3194792168823422,1.224744871391589,1.4142135623730951,0.0195,0.0114,0.019999999999999973,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.4,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.4976761962286425,1.4142135623730951,1.5811388300841898,0.0127,0.00914,0.02,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.5,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.6565948188265334,1.5811388300841898,1.7320508075688772,0.0163,0.00974,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.6,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.801439750477924,1.7320508075688772,1.8708286933869707,0.0,0.00598,0.019999999999999983,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.7,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.9354143466934852,1.8708286933869707,2.0,0.0,0.00593,0.02,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.8,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.060660171779821,2.0,2.1213203435596424,0.00496,0.00507,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537(pi)-dxF.-01TO0.9,2 - 2 - 1004,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.178694160529716,2.1213203435596424,2.23606797749979,0.00835,0.00882,0.01999999999999993,False,0.0,0.0,-1000.0,1000.0
