Name,E615(pi)-dQ
Comment,E615 pi-data Q-differential
Reference,Phys.Rev.D 39 (1989) 92-122
Process type,DY
Number of points,155
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.16
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E615(pi)-dQ.[4.05-4.50].0,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,0.125,0.0,0.25,0.02766,0.00095,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].1,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,0.375,0.25,0.5,0.06735,0.0015,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].2,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,0.625,0.5,0.75,0.08469,0.00175,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].3,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,0.875,0.75,1.0,0.09042,0.00191,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].4,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,1.125,1.0,1.25,0.07656,0.0018,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].5,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,1.375,1.25,1.5,0.06231,0.0017,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].6,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,1.625,1.5,1.75,0.0469,0.00158,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].7,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,1.875,1.75,2.0,0.02834,0.00127,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].8,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,2.125,2.0,2.25,0.0175,0.00105,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].9,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,2.375,2.25,2.5,0.01226,0.00098,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].10,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,2.625,2.5,2.75,0.007696,0.000781,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].11,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,2.875,2.75,3.0,0.003107,0.000504,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].12,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,3.125,3.0,3.25,0.002561,0.000512,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].13,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,3.375,3.25,3.5,0.0008958,0.0002986,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dQ.[4.05-4.50].14,2 - 2 - 1004,473.6,4.275,4.05,4.5,0.5,0.0,1.0,3.625,3.5,3.75,0.001639,0.000473,0.008888888888888885,False,0.0,0.0,-1000.0,1000.0
