Name,E615(pi)-dxF-0.8
Comment,E615 pi-data x-differential[y=0.8]
Reference,Phys.Rev.D 39 (1989) 92-122
Process type,DY
Number of points,15
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.16
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E615(pi)-dxF.[0.80-0.90].0,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,0.125,0.0,0.25,0.01232,0.00092,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].1,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,0.375,0.25,0.5,0.02741,0.00127,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].2,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,0.625,0.5,0.75,0.02511,0.00121,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].3,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,0.875,0.75,1.0,0.02332,0.00117,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].4,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,1.125,1.0,1.25,0.01619,0.00093,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].5,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,1.375,1.25,1.5,0.008712,0.000676,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].6,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,1.625,1.5,1.75,0.006165,0.000583,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].7,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,1.875,1.75,2.0,0.00335,0.000426,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].8,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,2.125,2.0,2.25,0.002236,0.000363,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].9,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,2.375,2.25,2.5,0.001296,0.000254,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].10,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,2.625,2.5,2.75,0.0004675,0.0001767,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].11,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,2.875,2.75,3.0,6.06e-05,6.06e-05,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].12,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,3.125,3.0,3.25,0.0001289,9.11e-05,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].13,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,3.375,3.25,3.5,8.89e-05,6.29e-05,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
E615(pi)-dxF.[0.80-0.90].14,2 - 2 - 1004,473.6,6.300000000000001,4.05,8.55,0.8500000000000001,0.8,0.9,3.875,3.75,4.0,4.33e-05,4.33e-05,0.04000000000000001,False,0.0,0.0,-1000.0,1000.0
