Name,A7-10y20
Comment,ATLAS 7TeV 1.0<|y|<2.0
Reference,arXiv:1406.3660
Process type,DY
Number of points,26
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A7-10y20.0,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,1.0,0.0,2.0,0.02781,0.00011680200000000001,0.00013348800000000002,0.00010289700000000001,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.1,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,3.0,2.0,4.0,0.05802,0.000150852,0.000226278,0.00020307,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.2,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,5.0,4.0,6.0,0.05782,0.00014455000000000002,0.00015611400000000003,0.00022549800000000003,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.3,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,7.0,6.0,8.0,0.04868,0.00013630400000000001,0.00013143600000000002,0.00018498400000000002,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.4,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,9.0,8.0,10.0,0.04047,0.000125457,0.00012140999999999999,0.000137598,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.5,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,11.0,10.0,12.0,0.03381,0.000114954,0.000108192,0.000114954,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.6,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,13.0,12.0,14.0,0.02823,0.00010727400000000002,9.033600000000001e-05,9.8805e-05,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.7,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,15.0,14.0,16.0,0.02385,9.54e-05,7.632e-05,8.109000000000001e-05,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.8,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,17.0,16.0,18.0,0.02034,8.949600000000001e-05,7.119e-05,7.119e-05,1.0,True,20.0,20.0,-2.4,2.4
A7-10y20.9,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,20.0,18.0,22.0,0.01606,6.2634e-05,5.1392e-05,5.621e-05,0.5,True,20.0,20.0,-2.4,2.4
A7-10y20.10,1 - 1 - 5,49000000.0,91.0,66.0,116.0,1.5,1.0,2.0,24.0,22.0,26.0,0.01217,5.7199e-05,4.3812e-05,4.3812e-05,0.5,True,20.0,20.0,-2.4,2.4
