Name,A7_mT_m
Comment,ATLAS 7TeV
Reference,arXiv:1108.6308
Process type,DY_mT
Number of points,2
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],<mT>[GeV],mTMin[GeV],mTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A7.0,4 - 1 - 903,49000000.0,1020.0,40.0,2000.0,0.0,-1000.0,1000.0,4.0005,0.001,8.0,770.0,40.0,1500.0,0.05439,0.001451206394693739,0.12501562695336918,True,20.0,25.0,-2.4,2.4
A7.1,4 - 1 - 903,49000000.0,1020.0,40.0,2000.0,0.0,-1000.0,1000.0,15.5,8.0,23.0,770.0,40.0,1500.0,0.02523,0.0006537583651472462,0.06666666666666667,True,20.0,25.0,-2.4,2.4
