Name,A8-08y12
Comment,ATLAS 8TeV 0.8<|y|<1.2
Reference,arXiv:1512.02192
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.028
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8-08y12.0,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,1.0,0.0,2.0,3.122,0.012487999999999999,0.0062439999999999996,0.028097999999999998,1.0,True,20.0,20.0,-2.4,2.4
A8-08y12.1,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,3.0,2.0,4.0,6.462,0.012924,0.006462,0.045233999999999996,1.0,True,20.0,20.0,-2.4,2.4
A8-08y12.2,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,5.0,4.0,6.0,6.548,0.013096,0.006548,0.039288,1.0,True,20.0,20.0,-2.4,2.4
A8-08y12.3,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,7.0,6.0,8.0,5.647,0.016940999999999998,0.005647,0.033881999999999995,1.0,True,20.0,20.0,-2.4,2.4
A8-08y12.4,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,9.0,8.0,10.0,4.716,0.014147999999999999,0.004716000000000001,0.028295999999999998,1.0,True,20.0,20.0,-2.4,2.4
A8-08y12.5,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,11.5,10.0,13.0,3.735,0.011205,0.0037350000000000005,0.02241,0.6666666666666666,True,20.0,20.0,-2.4,2.4
A8-08y12.6,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,14.5,13.0,16.0,2.901,0.008702999999999999,0.002901,0.017405999999999998,0.6666666666666666,True,20.0,20.0,-2.4,2.4
A8-08y12.7,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,18.0,16.0,20.0,2.173,0.006519,0.002173,0.013038,0.5,True,20.0,20.0,-2.4,2.4
A8-08y12.8,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,22.5,20.0,25.0,1.56,0.00468,0.0015600000000000002,0.00936,0.4,True,20.0,20.0,-2.4,2.4
A8-08y12.9,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,27.5,25.0,30.0,1.116,0.0033480000000000003,0.0011160000000000002,0.0066960000000000006,0.4,True,20.0,20.0,-2.4,2.4
A8-08y12.10,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,33.5,30.0,37.0,0.7797,0.0023390999999999998,0.0007796999999999999,0.0046781999999999995,0.2857142857142857,True,20.0,20.0,-2.4,2.4
A8-08y12.11,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,41.0,37.0,45.0,0.5231,0.0020924000000000003,0.0005231000000000001,0.0036617,0.25,True,20.0,20.0,-2.4,2.4
A8-08y12.12,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,50.0,45.0,55.0,0.3386,0.0013544000000000002,0.0006772000000000001,0.0027088000000000004,0.2,True,20.0,20.0,-2.4,2.4
A8-08y12.13,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,60.0,55.0,65.0,0.2199,0.0010995,0.0004398,0.0019791,0.2,True,20.0,20.0,-2.4,2.4
A8-08y12.14,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,70.0,65.0,75.0,0.144,0.0008639999999999999,0.00043199999999999993,0.0012959999999999998,0.2,True,20.0,20.0,-2.4,2.4
A8-08y12.15,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,80.0,75.0,85.0,0.09614,0.00067298,0.00028842,0.0008652600000000001,0.2,True,20.0,20.0,-2.4,2.4
A8-08y12.16,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,95.0,85.0,105.0,0.0557,0.0003342,0.0001671,0.0004456,0.1,True,20.0,20.0,-2.4,2.4
A8-08y12.17,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,127.5,105.0,150.0,0.02111,0.00012666,6.333e-05,0.00016888000000000002,0.044444444444444446,True,20.0,20.0,-2.4,2.4
A8-08y12.18,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,175.0,150.0,200.0,0.005979,7.1748e-05,2.3916000000000003e-05,5.979e-05,0.04,True,20.0,20.0,-2.4,2.4
A8-08y12.19,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.0,0.8,1.2,550.0,200.0,900.0,0.000238,3.57e-06,1.19e-06,2.618e-06,0.002857142857142857,True,20.0,20.0,-2.4,2.4
