Name,A8-116Q150
Comment,ATLAS 8TeV 116<Q<150
Reference,arXiv:1512.02192
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.028
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8-116Q150.0,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,1.0,0.0,2.0,0.1207,0.002414,0.001207,0.006155699999999999,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150.1,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,3.0,2.0,4.0,0.2567,0.0030803999999999996,0.0015401999999999998,0.0046206,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150.2,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,5.0,4.0,6.0,0.2719,0.0032627999999999993,0.0016313999999999996,0.0029909,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150.3,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,7.0,6.0,8.0,0.2426,0.0029112,0.0014556,0.0026686000000000006,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150.4,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,9.0,8.0,10.0,0.2161,0.0030253999999999993,0.0015126999999999996,0.0023771,0.5,True,20.0,20.0,-2.4,2.4
A8-116Q150.5,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,11.5,10.0,13.0,0.1721,0.0020652,0.0010326,0.0018931000000000002,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-116Q150.6,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,14.5,13.0,16.0,0.1398,0.0019572,0.0008388000000000001,0.0015378000000000002,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-116Q150.7,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,18.0,16.0,20.0,0.1078,0.0014014,0.0006468,0.0011858,0.25,True,20.0,20.0,-2.4,2.4
A8-116Q150.8,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,22.5,20.0,25.0,0.08209,0.0010671699999999999,0.00049254,0.00098508,0.2,True,20.0,20.0,-2.4,2.4
A8-116Q150.9,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,27.5,25.0,30.0,0.06068,0.0009102,0.00042476,0.00084952,0.2,True,20.0,20.0,-2.4,2.4
A8-116Q150.10,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,33.5,30.0,37.0,0.04451,0.0006676500000000001,0.00031157,0.00062314,0.14285714285714285,True,20.0,20.0,-2.4,2.4
A8-116Q150.11,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,41.0,37.0,45.0,0.03176,0.00050816,0.00025408,0.0004764,0.125,True,20.0,20.0,-2.4,2.4
A8-116Q150.12,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,50.0,45.0,55.0,0.02176,0.00036992,0.00017408000000000001,0.0004352,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150.13,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,60.0,55.0,65.0,0.01481,0.00032582,0.00013329,0.00035544,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150.14,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,70.0,65.0,75.0,0.01004,0.00028112,0.00013052000000000002,0.0003012,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150.15,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,80.0,75.0,85.0,0.007255,0.000253925,0.000123335,0.00023941499999999998,0.1,True,20.0,20.0,-2.4,2.4
A8-116Q150.16,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,95.0,85.0,105.0,0.004879,0.000131733,4.3911e-05,0.000151249,0.05,True,20.0,20.0,-2.4,2.4
A8-116Q150.17,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,127.5,105.0,150.0,0.002125,5.3125000000000004e-05,1.7000000000000003e-05,5.95e-05,0.022222222222222223,True,20.0,20.0,-2.4,2.4
A8-116Q150.18,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,175.0,150.0,200.0,0.0006599,2.6396000000000003e-05,1.0558400000000002e-05,1.5837600000000002e-05,0.02,True,20.0,20.0,-2.4,2.4
A8-116Q150.19,1 - 1 - 5,64000000.0,133.0,116.0,150.0,0.0,-2.4,2.4,550.0,200.0,900.0,2.57e-05,1.2336000000000001e-06,3.5980000000000003e-07,5.911e-07,0.0014285714285714286,True,20.0,20.0,-2.4,2.4
