Name,A8-16y20-norm
Comment,ATLAS 8TeV 1.6<|y|<2.0 normalized to 1/sigma
Reference,arXiv:1512.02192
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8-16y20-norm.0,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,1.0,0.0,2.0,0.02606,0.0001303,7.818e-05,0.00023454,1.0,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.1,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,3.0,2.0,4.0,0.05394,0.00016182,0.00010788,0.00032364,1.0,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.2,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,5.0,4.0,6.0,0.05425,0.00016275,0.00010850000000000001,0.00021700000000000002,1.0,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.3,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,7.0,6.0,8.0,0.04667,0.00014001,9.334000000000001e-05,0.00028002,1.0,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.4,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,9.0,8.0,10.0,0.03925,0.00015700000000000002,7.850000000000001e-05,0.00015700000000000002,1.0,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.5,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,11.5,10.0,13.0,0.0318,9.54e-05,6.360000000000001e-05,6.360000000000001e-05,0.6666666666666666,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.6,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,14.5,13.0,16.0,0.02489,9.956e-05,4.978e-05,7.466999999999999e-05,0.6666666666666666,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.7,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,18.0,16.0,20.0,0.01914,7.656000000000001e-05,3.8280000000000006e-05,5.742e-05,0.5,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.8,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,22.5,20.0,25.0,0.01403,5.612e-05,2.806e-05,4.209e-05,0.4,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.9,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,27.5,25.0,30.0,0.01025,5.125e-05,2.05e-05,4.1e-05,0.4,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.10,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,33.5,30.0,37.0,0.007398,2.9592000000000004e-05,1.4796000000000002e-05,2.2194e-05,0.2857142857142857,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.11,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,41.0,37.0,45.0,0.004994,2.497e-05,9.988e-06,1.9976e-05,0.25,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.12,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,50.0,45.0,55.0,0.003241,1.6204999999999998e-05,6.482e-06,1.2964e-05,0.2,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.13,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,60.0,55.0,65.0,0.002052,1.4363999999999998e-05,6.156e-06,1.2312e-05,0.2,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.14,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,70.0,65.0,75.0,0.001349,1.0792000000000001e-05,5.3960000000000005e-06,8.093999999999999e-06,0.2,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.15,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,80.0,75.0,85.0,0.0009165,9.165e-06,3.666e-06,7.332e-06,0.2,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.16,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,95.0,85.0,105.0,0.000529,4.2319999999999995e-06,2.1159999999999997e-06,3.1739999999999996e-06,0.1,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.17,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,127.5,105.0,150.0,0.0002056,1.6448000000000003e-06,6.168000000000001e-07,1.0280000000000002e-06,0.044444444444444446,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.18,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,175.0,150.0,200.0,6.014e-05,9.021e-07,3.007e-07,4.8112e-07,0.04,True,20.0,20.0,-2.4,2.4
A8-16y20-norm.19,1 - 1 - 5,64000000.0,91.0,66.0,116.0,1.8,1.6,2.0,550.0,200.0,900.0,2.06e-06,4.3260000000000005e-08,1.4420000000000001e-08,2.6780000000000006e-08,0.002857142857142857,True,20.0,20.0,-2.4,2.4
