Name,A8-46Q66
Comment,ATLAS 8TeV 46<Q<66
Reference,arXiv:1512.02192
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.028
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8-46Q66.0,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,1.0,0.0,2.0,0.6548,0.005238400000000001,0.0019644000000000003,0.03535920000000001,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66.1,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,3.0,2.0,4.0,1.231,0.007386,0.003693,0.020927,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66.2,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,5.0,4.0,6.0,1.116,0.0066960000000000006,0.0033480000000000003,0.01674,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66.3,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,7.0,6.0,8.0,0.8866,0.0053196,0.0026598,0.014185600000000001,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66.4,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,9.0,8.0,10.0,0.6563,0.0052504000000000006,0.0019689,0.0111571,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66.5,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,11.5,10.0,13.0,0.4806,0.0028836,0.0014418,0.007689600000000001,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-46Q66.6,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,14.5,13.0,16.0,0.3241,0.0022687,0.0009722999999999999,0.0055097,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-46Q66.7,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,18.0,16.0,20.0,0.2202,0.0015413999999999998,0.0006606,0.003303,0.25,True,20.0,20.0,-2.4,2.4
A8-46Q66.8,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,22.5,20.0,25.0,0.1408,0.0009856,0.0004224,0.0025344000000000005,0.2,True,20.0,20.0,-2.4,2.4
A8-46Q66.9,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,27.5,25.0,30.0,0.09033,0.0008129699999999999,0.00045164999999999995,0.0017162699999999998,0.2,True,20.0,20.0,-2.4,2.4
A8-46Q66.10,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,33.5,30.0,37.0,0.05644,0.0005644,0.00033863999999999997,0.0016931999999999997,0.14285714285714285,True,20.0,20.0,-2.4,2.4
A8-46Q66.11,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,41.0,37.0,45.0,0.03786,0.00045432,0.00026502,0.00109794,0.125,True,20.0,20.0,-2.4,2.4
A8-46Q66.12,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,50.0,45.0,55.0,0.02569,0.00033397,0.00015414,0.0008220800000000001,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66.13,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,60.0,55.0,65.0,0.0172,0.0002924,0.0001204,0.0005332000000000001,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66.14,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,70.0,65.0,75.0,0.01162,0.00025564,0.00010458,0.00032536,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66.15,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,80.0,75.0,85.0,0.008224,0.000213824,9.0464e-05,0.000279616,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66.16,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,95.0,85.0,105.0,0.004904,0.00010788800000000002,3.9232000000000007e-05,0.00015692800000000003,0.05,True,20.0,20.0,-2.4,2.4
A8-46Q66.17,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,127.5,105.0,150.0,0.001792,4.1216e-05,1.6128000000000002e-05,5.376e-05,0.022222222222222223,True,20.0,20.0,-2.4,2.4
A8-46Q66.18,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,175.0,150.0,200.0,0.0005056,1.92128e-05,6.0672e-06,1.46624e-05,0.02,True,20.0,20.0,-2.4,2.4
A8-46Q66.19,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,550.0,200.0,900.0,1.875e-05,9.562499999999997e-07,3.3749999999999995e-07,6.749999999999999e-07,0.0014285714285714286,True,20.0,20.0,-2.4,2.4
