Name,A8-46Q66-norm
Comment,ATLAS 8TeV 46<Q<66 normalized to 1/sigma
Reference,arXiv:1512.02192
Process type,DY
Number of points,20
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8-46Q66-norm.0,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,1.0,0.0,2.0,0.04347,0.00034776,0.00013041,0.0019126800000000002,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.1,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,3.0,2.0,4.0,0.08148,0.0004888799999999999,0.00024443999999999996,0.0009777599999999998,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.2,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,5.0,4.0,6.0,0.0739,0.00044339999999999994,0.00014780000000000001,0.0008129000000000001,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.3,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,7.0,6.0,8.0,0.05877,0.00035262,0.00011754000000000002,0.00052893,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.4,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,9.0,8.0,10.0,0.04355,0.0003484,0.00013064999999999998,0.00039194999999999996,0.5,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.5,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,11.5,10.0,13.0,0.03187,0.00019122000000000003,6.374000000000001e-05,0.00031870000000000005,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.6,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,14.5,13.0,16.0,0.02148,0.00015036,6.444e-05,0.0002148,0.3333333333333333,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.7,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,18.0,16.0,20.0,0.01456,0.00010191999999999999,2.912e-05,0.00017471999999999998,0.25,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.8,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,22.5,20.0,25.0,0.009327,6.5289e-05,2.7981000000000002e-05,0.000158559,0.2,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.9,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,27.5,25.0,30.0,0.005999,5.3991e-05,2.3996000000000002e-05,6.598900000000001e-05,0.2,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.10,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,33.5,30.0,37.0,0.003768,3.768e-05,1.884e-05,5.6519999999999994e-05,0.14285714285714285,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.11,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,41.0,37.0,45.0,0.00252,3.0240000000000002e-05,1.5120000000000001e-05,4.284e-05,0.125,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.12,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,50.0,45.0,55.0,0.001712,2.2256e-05,8.56e-06,3.2528e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.13,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,60.0,55.0,65.0,0.001146,1.9482e-05,8.022e-06,2.4066000000000003e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.14,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,70.0,65.0,75.0,0.0007712,1.69664e-05,6.1696e-06,1.61952e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.15,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,80.0,75.0,85.0,0.0005473,1.42298e-05,6.020300000000001e-06,1.36825e-05,0.1,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.16,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,95.0,85.0,105.0,0.0003267,7.187400000000001e-06,2.2869e-06,8.167500000000001e-06,0.05,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.17,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,127.5,105.0,150.0,0.0001191,2.8583999999999996e-06,9.528e-07,2.7392999999999998e-06,0.022222222222222223,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.18,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,175.0,150.0,200.0,3.363e-05,1.27794e-06,4.0356e-07,7.734899999999999e-07,0.02,True,20.0,20.0,-2.4,2.4
A8-46Q66-norm.19,1 - 1 - 5,64000000.0,56.0,46.0,66.0,0.0,-2.4,2.4,550.0,200.0,900.0,1.247e-06,6.3597e-08,2.2446e-08,3.741e-08,0.0014285714285714286,True,20.0,20.0,-2.4,2.4
