Name,CDF1.8_mT
Comment,CDF 1.8TeV
Reference,arXiv:Phys. Rev. Lett. 66 (1991) 2951–2955
Process type,DY_mT
Number of points,10
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],<mT>[GeV],mTMin[GeV],mTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDF1.8.0,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,1.0005,0.001,2.0,750.0,0.0,1500.0,0.0406894934,0.0268092614,0.5002501250625312,True,20.0,20.0,-1.1,1.1
CDF1.8.1,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,3.0,2.0,4.0,750.0,0.0,1500.0,0.0915806754,0.0401536792,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.2,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,5.0,4.0,6.0,750.0,0.0,1500.0,0.0831965290,0.0229505656,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.3,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,7.0,6.0,8.0,750.0,0.0,1500.0,0.0635553470,0.0134633500,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.4,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,9.0,8.0,10.0,750.0,0.0,1500.0,0.0564610694,0.01205160715,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.5,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,11.0,10.0,12.0,750.0,0.0,1500.0,0.0446763602,0.0106373088,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.6,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,13.0,12.0,14.0,750.0,0.0,1500.0,0.0401031894,0.0100794620,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.7,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,15.0,14.0,16.0,750.0,0.0,1500.0,0.0305464352,0.00845283,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.8,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,17.0,16.0,18.0,750.0,0.0,1500.0,0.0264423076,0.00660474962,0.5,True,20.0,20.0,-1.1,1.1
CDF1.8.9,3 - 1 - 1203,3240000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,19.0,18.0,20.0,750.0,0.0,1500.0,0.0227485928,0.00556668395,0.5,True,20.0,20.0,-1.1,1.1
