Name,CDF1
Comment,CDF run1
Reference,hep-ex/0001021
Process type,DY
Number of points,50
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.039
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDF1.0,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,0.25,0.0,0.5,3.35,0.54,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.1,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,0.75,0.5,1.0,10.1,1.0,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.2,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,1.25,1.0,1.5,14.8,1.2,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.3,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,1.75,1.5,2.0,19.4,1.4,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.4,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,2.25,2.0,2.5,20.2,1.4,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.5,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,2.75,2.5,3.0,23.6,1.5,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.6,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,3.25,3.0,3.5,23.6,1.4,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.7,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,3.75,3.5,4.0,23.0,1.4,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.8,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,4.25,4.0,4.5,19.9,1.3,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.9,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,4.75,4.5,5.0,19.3,1.2,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.10,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,5.25,5.0,5.5,17.9,1.2,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.11,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,5.75,5.5,6.0,18.0,1.2,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.12,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,6.25,6.0,6.5,14.6,1.0,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.13,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,6.75,6.5,7.0,14.5,1.0,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.14,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,7.25,7.0,7.5,13.5,1.0,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.15,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,7.75,7.5,8.0,13.7,1.0,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.16,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,8.25,8.0,8.5,11.9,0.9,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.17,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,8.75,8.5,9.0,10.4,0.9,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.18,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,9.25,9.0,9.5,11.1,0.9,2.0,False,0.0,0.0,-1000.0,1000.0
CDF1.19,1 - 1 - 6,3240000.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,9.75,9.5,10.0,9.56,0.82,2.0,False,0.0,0.0,-1000.0,1000.0
