Name,CDF2
Comment,CDF run2
Reference,arXiv:1207.7138
Process type,DY
Number of points,82
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.058
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CDF2.0,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,0.25,0.0,0.5,3.613,0.168,0.035,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.1,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,0.75,0.5,1.0,10.08,0.27,0.1,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.2,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,1.25,1.0,1.5,15.51,0.33,0.15,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.3,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,1.75,1.5,2.0,19.47,0.37,0.19,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.4,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,2.25,2.0,2.5,21.58,0.39,0.21,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.5,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,2.75,2.5,3.0,22.95,0.4,0.23,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.6,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,3.25,3.0,3.5,22.58,0.39,0.22,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.7,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,3.75,3.5,4.0,22.35,0.39,0.22,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.8,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,4.25,4.0,4.5,20.61,0.37,0.21,2.0,False,0.0,0.0,-1000.0,1000.0
CDF2.9,1 - 1 - 6,3841600.0,91.0,66.0,116.0,0.0,-1000.0,1000.0,4.75,4.5,5.0,19.87,0.36,0.2,2.0,False,0.0,0.0,-1000.0,1000.0
