Name,CMS13-12y16
Comment,CMS 13TeV 1.2<|y|<1.6 absolute
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.025
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-12y16.0,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,1.5,1.0,2.0,4.7387,0.18509,0.07640924158372467,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.1,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,2.5,2.0,3.0,6.1954,0.23382,0.09989782330761768,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.2,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,3.5,3.0,4.0,7.0506,0.25754,0.1136875089603075,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.3,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,4.5,4.0,5.0,7.2887,0.25912,0.11752675610004729,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.4,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,5.5,5.0,6.0,7.1054,0.24707,0.11457113240952103,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.5,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,6.5,6.0,7.0,6.6879,0.2278,0.10783914718969174,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.6,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,7.5,7.0,8.0,6.199,0.20714,0.09995587156340542,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.7,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,8.5,8.0,9.0,5.7522,0.18819,0.09275143803952583,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.8,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,9.5,9.0,10.0,5.3334,0.17138,0.08599849094955098,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.9,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,10.5,10.0,11.0,4.908,0.15627,0.07913912205729857,2.0,True,25.0,25.0,-2.4,2.4
