Name,CMS13-16y24-norm
Comment,CMS 13TeV 1.6<|y|<2.4 normalized
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-16y24-norm.0,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,1.5,1.0,2.0,0.048608,0.0019228,0.0007837804492585918,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.1,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,2.5,2.0,3.0,0.063111,0.0023862,0.0010176342975057396,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.2,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,3.5,3.0,4.0,0.072261,0.0025806,0.0011651736142996032,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.3,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,4.5,4.0,5.0,0.074514,0.0024773,0.0012015021477134362,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.4,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,5.5,5.0,6.0,0.071993,0.0022255,0.001160852244146515,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.5,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,6.5,6.0,7.0,0.067495,0.0019609,0.0010883241734428212,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.6,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,7.5,7.0,8.0,0.063051,0.0017633,0.0010166668265759436,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.7,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,8.5,8.0,9.0,0.05926,0.0016284,0.0009555387883283441,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.8,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,9.5,9.0,10.0,0.055573,0.0014996,0.0008960876996923906,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.9,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,10.5,10.0,11.0,0.051613,0.0013413,0.000832234618325866,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.10,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,11.5,11.0,12.0,0.047344,0.0011525,0.000763399061670893,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.11,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,12.5,12.0,13.0,0.043248,0.0009903,0.0006973530461968314,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.12,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,13.5,13.0,14.0,0.040068,0.00089894,0.0006460770869176525,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.13,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,15.0,14.0,16.0,0.037439,0.00081681,0.0006036857356770988,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.14,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,17.0,16.0,18.0,0.031867,0.00066085,0.0005138399353300598,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.15,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,19.0,18.0,20.0,0.027608,0.00055535,0.00044516562383005274,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.16,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,21.0,20.0,22.0,0.025413,0.00049193,0.00040977231231502213,1.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.17,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,23.5,22.0,25.0,0.021422,0.00038811,0.00034541937096810305,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.18,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,26.5,25.0,28.0,0.017869,0.00030779,0.00028812896740869353,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.19,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,30.0,28.0,32.0,0.014646,0.00022657,0.0002361596539631611,0.5,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.20,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,34.5,32.0,37.0,0.011655,0.00014768,0.0001879312281128392,0.4,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.21,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,40.0,37.0,43.0,0.0088441,0.00010143,0.00014260682750345441,0.3333333333333333,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.22,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,47.5,43.0,52.0,0.0062295,7.6006e-05,0.00010044766928605162,0.2222222222222222,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.23,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,58.5,52.0,65.0,0.0035776,4.8603e-05,5.7687066640625776e-05,0.15384615384615385,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.24,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,75.0,65.0,85.0,0.0017622,2.58e-05,2.841462120810341e-05,0.1,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.25,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,102.5,85.0,120.0,0.00075261,1.2113e-05,1.2135471607893943e-05,0.05714285714285714,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.26,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,140.0,120.0,160.0,0.00029799,5.654e-06,4.804944372830969e-06,0.05,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.27,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,175.0,160.0,190.0,0.00013463,3.0898e-06,2.1708435213068676e-06,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-16y24-norm.28,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,205.0,190.0,220.0,7.4951e-05,2.102e-06,1.208548560985449e-06,0.06666666666666667,True,25.0,25.0,-2.4,2.4
