Name,CMS8
Comment,CMS 8TeV
Reference,arXiv:1606.05864
Process type,DY
Number of points,18
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS8.0,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,1.25,0.0,2.5,0.0333549,0.00205861,0.4,True,20.0,20.0,-2.1,2.1
CMS8.1,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,3.75,2.5,5.0,0.0553482,0.00264076,0.4,True,20.0,20.0,-2.1,2.1
CMS8.2,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,6.25,5.0,7.5,0.051878,0.00249936,0.4,True,20.0,20.0,-2.1,2.1
CMS8.3,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,8.75,7.5,10.0,0.0385965,0.00229056,0.4,True,20.0,20.0,-2.1,2.1
CMS8.4,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,11.25,10.0,12.5,0.0354796,0.00215988,0.4,True,20.0,20.0,-2.1,2.1
CMS8.5,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,13.75,12.5,15.0,0.0240797,0.00189679,0.4,True,20.0,20.0,-2.1,2.1
CMS8.6,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,16.25,15.0,17.5,0.0225014,0.00173219,0.4,True,20.0,20.0,-2.1,2.1
CMS8.7,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,18.75,17.5,20.0,0.0172383,0.00154885,0.4,True,20.0,20.0,-2.1,2.1
CMS8.8,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,25.0,20.0,30.0,0.0117412,0.000482165,0.1,True,20.0,20.0,-2.1,2.1
CMS8.9,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,35.0,30.0,40.0,0.00651165,0.000359578,0.1,True,20.0,20.0,-2.1,2.1
CMS8.10,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,45.0,40.0,50.0,0.00401844,0.000289945,0.1,True,20.0,20.0,-2.1,2.1
CMS8.11,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,60.0,50.0,70.0,0.00215843,0.000144729,0.05,True,20.0,20.0,-2.1,2.1
CMS8.12,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,80.0,70.0,90.0,0.000889498,9.5768e-05,0.05,True,20.0,20.0,-2.1,2.1
CMS8.13,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,100.0,90.0,110.0,0.000409535,6.58497e-05,0.05,True,20.0,20.0,-2.1,2.1
CMS8.14,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,130.0,110.0,150.0,0.000164556,2.83107e-05,0.025,True,20.0,20.0,-2.1,2.1
CMS8.15,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,170.0,150.0,190.0,7.64607e-05,1.88958e-05,0.025,True,20.0,20.0,-2.1,2.1
CMS8.16,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,220.0,190.0,250.0,8.98327e-06,6.26627e-06,0.016666666666666666,True,20.0,20.0,-2.1,2.1
CMS8.17,1 - 1 - 5,64000000.0,91.0,60.0,120.0,0.0,-2.1,2.1,425.0,250.0,600.0,4.43714e-06,1.95776e-06,0.002857142857142857,True,20.0,20.0,-2.1,2.1
