Name,CMS8_mT_e
Comment,CMS 8TeV
Reference,arXiv:1606.05864
Process type,DY_mT
Number of points,4
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],<mT>[GeV],mTMin[GeV],mTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS8_e.0,3 - 1 - 903,64000000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,3.7505,0.001,7.5,750.0,0.0,1500.0,0.0473821,0.000564642,0.13335111348179757,True,25.0,0.0,-2.5,2.5
CMS8_e.1,3 - 1 - 903,64000000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,10.0,7.5,12.5,750.0,0.0,1500.0,0.0411806,0.000732773,0.2,True,25.0,0.0,-2.5,2.5
CMS8_e.2,3 - 1 - 903,64000000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,15.0,12.5,17.5,750.0,0.0,1500.0,0.0242413,0.000383391,0.2,True,25.0,0.0,-2.5,2.5
CMS8_e.3,3 - 1 - 903,64000000.0,1000.0,0.0,2000.0,0.0,-1000.0,1000.0,20.75,17.5,24.0,750.0,0.0,1500.0,0.014866,0.000203276,0.15384615384615385,True,25.0,0.0,-2.5,2.5
