Name,D01.8_mT
Comment,D0 1.8TeV
Reference,arXiv:9803003
Process type,DY_mT
Number of points,10
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],<mT>[GeV],mTMin[GeV],mTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
D01.8.0,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,1.0005,0.001,2.0,85.0,50.0,120.0,0.374,0.066,0.5002501250625312,True,25.0,25.0,-1.1,1.1
D01.8.1,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,3.0,2.0,4.0,85.0,50.0,120.0,0.908,0.095,0.5,True,25.0,25.0,-1.1,1.1
D01.8.2,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,5.0,4.0,6,85.0,50.0,120.0,0.924,0.070,0.5,True,25.0,25.0,-1.1,1.1
D01.8.3,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,7.0,6.0,8.0,85.0,50.0,120.0,0.742,0.058,0.5,True,25.0,25.0,-1.1,1.1
D01.8.4,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,9.0,8.0,10.0,85.0,50.0,120.0,0.530,0.042,0.5,True,25.0,25.0,-1.1,1.1
D01.8.5,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,11.0,10.0,12.0,85.0,50.0,120.0,0.318,0.030,0.5,True,25.0,25.0,-1.1,1.1
D01.8.6,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,13.0,12.0,14.0,85.0,50.0,120.0,0.272,0.026,0.5,True,25.0,25.0,-1.1,1.1
D01.8.7,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,15.0,14.0,16.0,85.0,50.0,120.0,0.168,0.019,0.5,True,25.0,25.0,-1.1,1.1
D01.8.8,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,17.0,16.0,18.0,85.0,50.0,120.0,0.136,0.015,0.5,True,25.0,25.0,-1.1,1.1
D01.8.9,3 - 1 - 1203,3240000.0,1025.0,50.0,2000.0,0.0,-1000.0,1000.0,19.0,18.0,20.0,85.0,50.0,120.0,0.124,0.015,0.5,True,25.0,25.0,-1.1,1.1

