Name,D01
Comment,D0 run1
Reference,hep-ex/9907009
Process type,DY
Number of points,26
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.044
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
D01.0,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,0.5,0.0,1.0,6.04,0.53,1.0,False,0.0,0.0,-1000.0,1000.0
D01.1,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,1.5,1.0,2.0,16.2,0.96,1.0,False,0.0,0.0,-1000.0,1000.0
D01.2,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,2.5,2.0,3.0,20.4,1.1,1.0,False,0.0,0.0,-1000.0,1000.0
D01.3,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,3.5,3.0,4.0,19.7,1.1,1.0,False,0.0,0.0,-1000.0,1000.0
D01.4,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,4.5,4.0,5.0,16.2,0.92,1.0,False,0.0,0.0,-1000.0,1000.0
D01.5,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,5.5,5.0,6.0,15.0,0.87,1.0,False,0.0,0.0,-1000.0,1000.0
D01.6,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,6.5,6.0,7.0,14.1,0.84,1.0,False,0.0,0.0,-1000.0,1000.0
D01.7,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,7.5,7.0,8.0,11.1,0.73,1.0,False,0.0,0.0,-1000.0,1000.0
D01.8,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,8.5,8.0,9.0,10.0,0.69,1.0,False,0.0,0.0,-1000.0,1000.0
D01.9,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,9.5,9.0,10.0,9.29,0.67,1.0,False,0.0,0.0,-1000.0,1000.0
D01.10,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,11.0,10.0,12.0,7.25,0.54,0.5,False,0.0,0.0,-1000.0,1000.0
D01.11,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,13.0,12.0,14.0,5.45,0.44,0.5,False,0.0,0.0,-1000.0,1000.0
D01.12,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,15.0,14.0,16.0,4.45,0.39,0.5,False,0.0,0.0,-1000.0,1000.0
D01.13,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,17.0,16.0,18.0,3.54,0.33,0.5,False,0.0,0.0,-1000.0,1000.0
D01.14,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,19.0,18.0,20.0,3.21,0.31,0.5,False,0.0,0.0,-1000.0,1000.0
D01.15,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,22.5,20.0,25.0,2.06,0.18,0.2,False,0.0,0.0,-1000.0,1000.0
D01.16,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,27.5,25.0,30.0,1.29,0.13,0.2,False,0.0,0.0,-1000.0,1000.0
D01.17,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,32.5,30.0,35.0,0.962,0.11,0.2,False,0.0,0.0,-1000.0,1000.0
D01.18,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,37.5,35.0,40.0,0.84,0.1,0.2,False,0.0,0.0,-1000.0,1000.0
D01.19,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,45.0,40.0,50.0,0.373,0.045,0.1,False,0.0,0.0,-1000.0,1000.0
D01.20,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,55.0,50.0,60.0,0.251,0.036,0.1,False,0.0,0.0,-1000.0,1000.0
D01.21,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,65.0,60.0,70.0,0.163,0.027,0.1,False,0.0,0.0,-1000.0,1000.0
D01.22,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,77.5,70.0,85.0,0.053,0.012,0.06666666666666667,False,0.0,0.0,-1000.0,1000.0
D01.23,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,92.5,85.0,100.0,0.034,0.009,0.06666666666666667,False,0.0,0.0,-1000.0,1000.0
D01.24,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,150.0,100.0,200.0,0.005,0.0013,0.01,False,0.0,0.0,-1000.0,1000.0
D01.25,1 - 1 - 6,3240000.0,91.0,75.0,105.0,0.0,-1000.0,1000.0,250.0,200.0,300.0,0.0004,0.00035,0.01,False,0.0,0.0,-1000.0,1000.0
