Name,D02
Comment,D0 run2
Reference,arXiv:0712.0803
Process type,DY
Number of points,23
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
D02.0,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,1.25,0.0,2.5,0.0532,0.0013,0.0024,0.4,False,0.0,0.0,-1000.0,1000.0
D02.1,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,3.75,2.5,5.0,0.0808,0.0012,0.0019,0.4,False,0.0,0.0,-1000.0,1000.0
D02.2,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,6.25,5.0,7.5,0.0633,0.0011,0.0014,0.4,False,0.0,0.0,-1000.0,1000.0
D02.3,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,8.75,7.5,10.0,0.0443,0.0009,0.0011,0.4,False,0.0,0.0,-1000.0,1000.0
D02.4,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,11.25,10.0,12.5,0.0315,0.0008,0.0008,0.4,False,0.0,0.0,-1000.0,1000.0
D02.5,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,13.75,12.5,15.0,0.0246,0.0007,0.0006,0.4,False,0.0,0.0,-1000.0,1000.0
D02.6,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,16.25,15.0,17.5,0.0186,0.0006,0.0005,0.4,False,0.0,0.0,-1000.0,1000.0
D02.7,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,18.75,17.5,20.0,0.0142,0.0005,0.0005,0.4,False,0.0,0.0,-1000.0,1000.0
D02.8,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,21.25,20.0,22.5,0.0109,0.0004,0.0003,0.4,False,0.0,0.0,-1000.0,1000.0
D02.9,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,23.75,22.5,25.0,0.0094,0.0004,0.0002,0.4,False,0.0,0.0,-1000.0,1000.0
D02.10,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,26.25,25.0,27.5,0.0069,0.0003,0.0002,0.4,False,0.0,0.0,-1000.0,1000.0
D02.11,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,28.75,27.5,30.0,0.0055,0.0003,0.0001,0.4,False,0.0,0.0,-1000.0,1000.0
D02.12,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,35.0,30.0,40.0,0.0039,0.0001,0.0001,0.1,False,0.0,0.0,-1000.0,1000.0
D02.13,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,45.0,40.0,50.0,0.0021,7e-05,6e-05,0.1,False,0.0,0.0,-1000.0,1000.0
D02.14,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,55.0,50.0,60.0,0.0011,5e-05,3e-05,0.1,False,0.0,0.0,-1000.0,1000.0
D02.15,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,65.0,60.0,70.0,0.00073,4e-05,2e-05,0.1,False,0.0,0.0,-1000.0,1000.0
D02.16,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,75.0,70.0,80.0,0.00042,3e-05,2e-05,0.1,False,0.0,0.0,-1000.0,1000.0
D02.17,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,85.0,80.0,90.0,0.00025,2e-05,1e-05,0.1,False,0.0,0.0,-1000.0,1000.0
D02.18,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,95.0,90.0,100.0,0.00016,1.7e-05,8e-06,0.1,False,0.0,0.0,-1000.0,1000.0
D02.19,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,120.0,100.0,140.0,6e-05,5e-06,3e-06,0.025,False,0.0,0.0,-1000.0,1000.0
D02.20,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,160.0,140.0,180.0,1.1e-05,2e-06,7e-07,0.025,False,0.0,0.0,-1000.0,1000.0
D02.21,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,200.0,180.0,220.0,3e-06,1e-06,3e-07,0.025,False,0.0,0.0,-1000.0,1000.0
D02.22,1 - 1 - 6,3841600.0,91.0,70.0,110.0,0.0,-1000.0,1000.0,240.0,220.0,260.0,7.1e-07,6.1e-07,6e-08,0.025,False,0.0,0.0,-1000.0,1000.0
