Name,D02m
Comment,D0 run2 data for muons
Reference,arXiv:1006.0618
Process type,DY
Number of points,13
Number of uncorr.errors,2
Number of corr.errors,3
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Corr.Err.1,Corr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
D02m.0,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,2.0,0.0,4.0,0.0613,0.0007,6.130000000000001e-05,-0.0044136,0.0008582,0.0006743000000000001,0.25,True,15.0,15.0,-1.7,1.7
D02m.1,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,6.0,4.0,8.0,0.0627,0.0006,6.27e-05,-0.0009405000000000001,0.00037620000000000004,0.0007524000000000001,0.25,True,15.0,15.0,-1.7,1.7
D02m.2,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,10.0,8.0,12.0,0.0384,0.0005,3.84e-05,0.0016511999999999998,0.00042239999999999997,0.0004992,0.25,True,15.0,15.0,-1.7,1.7
D02m.3,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,14.0,12.0,16.0,0.025,0.0003,2.5e-05,0.0014750000000000002,0.000175,0.000275,0.25,True,15.0,15.0,-1.7,1.7
D02m.4,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,19.5,16.0,23.0,0.0143,0.0002,1.4300000000000002e-05,0.0007722000000000001,8.58e-05,0.00015730000000000003,0.14285714285714285,True,15.0,15.0,-1.7,1.7
D02m.5,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,27.5,23.0,32.0,0.00704,0.00011,7.04e-06,0.00029568000000000004,5.632e-05,7.744e-05,0.1111111111111111,True,15.0,15.0,-1.7,1.7
D02m.6,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,38.5,32.0,45.0,0.00332,6e-05,3.3200000000000004e-06,8.964e-05,3.652e-05,3.652e-05,0.07692307692307693,True,15.0,15.0,-1.7,1.7
D02m.7,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,52.5,45.0,60.0,0.0015,4e-05,3e-06,2.1e-05,2.4e-05,1.65e-05,0.06666666666666667,True,15.0,15.0,-1.7,1.7
D02m.8,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,70.0,60.0,80.0,0.000611,2.3e-05,1.8329999999999999e-06,1.2220000000000001e-06,1.4052999999999999e-05,6.7210000000000005e-06,0.05,True,15.0,15.0,-1.7,1.7
D02m.9,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,95.0,80.0,110.0,0.000203,1.2e-05,1.218e-06,-1.218e-06,5.4810000000000005e-06,3.248e-06,0.03333333333333333,True,15.0,15.0,-1.7,1.7
D02m.10,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,130.0,110.0,150.0,5.3e-05,5.8e-06,5.830000000000001e-07,-6.36e-07,1.749e-06,1.1660000000000001e-06,0.025,True,15.0,15.0,-1.7,1.7
D02m.11,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,175.0,150.0,200.0,1.16e-05,2.4e-06,1.624e-07,-1.9720000000000002e-07,4.2920000000000006e-07,2.784e-07,0.02,True,15.0,15.0,-1.7,1.7
D02m.12,1 - 1 - 6,3841600.0,91.0,65.0,115.0,0.0,-1000.0,1000.0,265.0,200.0,330.0,1.23e-06,5.2e-07,3.3210000000000004e-08,-2.5830000000000004e-08,5.043e-08,3.1980000000000006e-08,0.007692307692307693,True,15.0,15.0,-1.7,1.7
