Name,E537-dQ
Comment,E537 data Q-differential
Reference,Phys.Rev.D 93 (1988) 1377
Process type,DY
Number of points,137
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.08
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E537-dQ.40TO45.0,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,0.3535533905932738,0.0,0.7071067811865476,0.0729,0.00959,0.003999999999999999,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.1,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,0.8535533905932737,0.7071067811865476,1.0,0.0513,0.00793,0.004000000000000001,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.2,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.1123724356957945,1.0,1.224744871391589,0.0318,0.00597,0.004000000000000002,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.3,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.3194792168823422,1.224744871391589,1.4142135623730951,0.0172,0.00438,0.003999999999999995,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.4,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.4976761962286425,1.4142135623730951,1.5811388300841898,0.00732,0.00279,0.004,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.5,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.6565948188265334,1.5811388300841898,1.7320508075688772,0.0105,0.00323,0.004000000000000007,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.6,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.801439750477924,1.7320508075688772,1.8708286933869707,0.00844,0.00326,0.003999999999999997,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.7,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,1.9354143466934852,1.8708286933869707,2.0,0.0033,0.00193,0.004,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.8,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.060660171779821,2.0,2.1213203435596424,0.00104,0.00105,0.004000000000000007,False,0.0,0.0,-1000.0,1000.0
E537-dQ.40TO45.9,2 - 2 - 1003,235.4,4.25,4.0,4.5,0.45,-0.1,1.0,2.178694160529716,2.1213203435596424,2.23606797749979,0.000717,0.000722,0.003999999999999986,False,0.0,0.0,-1000.0,1000.0
