Name,E537-dxF
Comment,E537 data xF-differential
Reference,Phys.Rev.D 93 (1988) 1377
Process type,DY
Number of points,154
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.08
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E537-dxF.-01TO0.0,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,0.3535533905932738,0.0,0.7071067811865476,0.222,0.0648,0.019999999999999993,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.1,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,0.8535533905932737,0.7071067811865476,1.0,0.134,0.048,0.020000000000000004,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.2,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.1123724356957945,1.0,1.224744871391589,0.124,0.0449,0.020000000000000007,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.3,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.3194792168823422,1.224744871391589,1.4142135623730951,0.0381,0.0272,0.019999999999999973,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.4,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.4976761962286425,1.4142135623730951,1.5811388300841898,0.0366,0.0262,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.5,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.6565948188265334,1.5811388300841898,1.7320508075688772,0.0488,0.0289,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.6,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.801439750477924,1.7320508075688772,1.8708286933869707,0.0,0.0206,0.019999999999999983,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.7,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,1.9354143466934852,1.8708286933869707,2.0,0.0234,0.017,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.8,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.060660171779821,2.0,2.1213203435596424,0.0,0.023,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.9,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.178694160529716,2.1213203435596424,2.23606797749979,0.00971,0.00997,0.01999999999999993,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.10,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.2906379287057526,2.23606797749979,2.345207879911715,0.0,0.0155,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.11,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.397348811347446,2.345207879911715,2.449489742783178,0.0166,0.018,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.12,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.499499749789785,2.449489742783178,2.5495097567963922,0.0,0.0161,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.13,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.5976305339304915,2.5495097567963922,2.6457513110645907,0.0,0.00972,0.01999999999999993,False,0.0,0.0,-1000.0,1000.0
E537-dxF.-01TO0.14,2 - 2 - 1003,235.4,6.5,4.0,9.0,-0.05,-0.1,0.0,2.6921820492952104,2.6457513110645907,2.7386127875258306,0.0,0.0148,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.0,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,0.3535533905932738,0.0,0.7071067811865476,0.21,0.0476,0.019999999999999993,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.1,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,0.8535533905932737,0.7071067811865476,1.0,0.148,0.0401,0.020000000000000004,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.2,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,1.1123724356957945,1.0,1.224744871391589,0.0718,0.0274,0.020000000000000007,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.3,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,1.3194792168823422,1.224744871391589,1.4142135623730951,0.0436,0.022,0.019999999999999973,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.4,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,1.4976761962286425,1.4142135623730951,1.5811388300841898,0.0251,0.0146,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.5,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,1.6565948188265334,1.5811388300841898,1.7320508075688772,0.0252,0.0148,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.6,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,1.801439750477924,1.7320508075688772,1.8708286933869707,0.0329,0.0194,0.019999999999999983,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.7,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,1.9354143466934852,1.8708286933869707,2.0,0.0,0.0115,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.8,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,2.060660171779821,2.0,2.1213203435596424,0.0,0.00848,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.9,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,2.178694160529716,2.1213203435596424,2.23606797749979,0.0,0.00745,0.01999999999999993,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.10,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,2.2906379287057526,2.23606797749979,2.345207879911715,0.0,0.00752,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.11,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,2.397348811347446,2.345207879911715,2.449489742783178,0.0,0.0077,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.12,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,2.499499749789785,2.449489742783178,2.5495097567963922,0.0,0.0171,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.13,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,2.5976305339304915,2.5495097567963922,2.6457513110645907,0.0,0.00717,0.01999999999999993,False,0.0,0.0,-1000.0,1000.0
E537-dxF.00TO01.14,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.05,0.0,0.1,2.6921820492952104,2.6457513110645907,2.7386127875258306,0.0,0.0198,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.0,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,0.3535533905932738,0.0,0.7071067811865476,0.152,0.0327,0.019999999999999993,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.1,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,0.8535533905932737,0.7071067811865476,1.0,0.133,0.0318,0.020000000000000004,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.2,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,1.1123724356957945,1.0,1.224744871391589,0.0769,0.0225,0.020000000000000007,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.3,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,1.3194792168823422,1.224744871391589,1.4142135623730951,0.032,0.0144,0.019999999999999973,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.4,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,1.4976761962286425,1.4142135623730951,1.5811388300841898,0.0231,0.0116,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.5,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,1.6565948188265334,1.5811388300841898,1.7320508075688772,0.0135,0.00964,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.6,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,1.801439750477924,1.7320508075688772,1.8708286933869707,0.015,0.0107,0.019999999999999983,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.7,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,1.9354143466934852,1.8708286933869707,2.0,0.0,0.00643,0.02,False,0.0,0.0,-1000.0,1000.0
E537-dxF.01TO02.8,2 - 2 - 1003,235.4,6.5,4.0,9.0,0.15000000000000002,0.1,0.2,2.060660171779821,2.0,2.1213203435596424,0.0124,0.00906,0.020000000000000035,False,0.0,0.0,-1000.0,1000.0
