Name,E772
Comment,E772 data
Reference,Phys.Rev.D 50 (1994) 3-38 + Erratum D60 (1999) 119903
Process type,DY
Number of points,91
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.1
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E772.5Q6.0,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,0.125,0.0,0.25,6.75,0.305,25.464790894704002,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.1,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,0.375,0.25,0.5,5.59,0.156,8.488263631568001,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.2,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,0.625,0.5,0.75,4.84,0.122,5.092958178940801,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.3,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,0.875,0.75,1.0,3.5,0.0903,3.637827270672,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.4,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,1.125,1.0,1.25,2.56,0.0768,2.829421210522667,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.5,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,1.375,1.25,1.5,1.78,0.0672,2.3149809904276366,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.6,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,1.625,1.5,1.75,1.12,0.0535,1.958830068823385,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.7,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,1.875,1.75,2.0,0.817,0.0627,1.6976527263136003,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.8,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,2.125,2.0,2.25,0.259,0.0298,1.497928876159059,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.9,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,2.375,2.25,2.5,0.346,0.0575,1.3402521523528421,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.10,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,2.625,2.5,2.75,0.147,0.0345,1.212609090224,False,0.0,0.0,-1000.0,1000.0
E772.5Q6.11,2 - 2 - 1002,1502.3375999999998,5.5,5.0,6.0,0.2,0.1,0.3,2.875,2.75,3.0,0.0457,0.0154,1.1071648215088696,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.0,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,0.125,0.0,0.25,2.87,0.153,25.464790894704002,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.1,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,0.375,0.25,0.5,2.28,0.0765,8.488263631568001,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.2,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,0.625,0.5,0.75,2.08,0.0625,5.092958178940801,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.3,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,0.875,0.75,1.0,1.35,0.0413,3.637827270672,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.4,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,1.125,1.0,1.25,1.05,0.0356,2.829421210522667,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.5,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,1.375,1.25,1.5,0.669,0.0275,2.3149809904276366,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.6,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,1.625,1.5,1.75,0.397,0.0203,1.958830068823385,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.7,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,1.875,1.75,2.0,0.262,0.0172,1.6976527263136003,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.8,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,2.125,2.0,2.25,0.213,0.0202,1.497928876159059,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.9,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,2.375,2.25,2.5,0.117,0.015,1.3402521523528421,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.10,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,2.625,2.5,2.75,0.0979,0.0215,1.212609090224,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.11,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,2.875,2.75,3.0,0.0376,0.00908,1.1071648215088696,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.12,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,3.125,3.0,3.25,0.0229,0.00789,1.0185916357881601,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.13,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,3.375,3.25,3.5,0.0345,0.0425,0.9431404035075557,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.14,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,3.625,3.5,3.75,0.0106,0.00886,0.8780962377484139,False,0.0,0.0,-1000.0,1000.0
E772.6Q7.15,2 - 2 - 1002,1502.3375999999998,6.5,6.0,7.0,0.2,0.1,0.3,3.875,3.75,4.0,0.000501,0.000432,0.8214448675710968,False,0.0,0.0,-1000.0,1000.0
E772.7Q8.0,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.2,0.1,0.3,0.125,0.0,0.25,1.68,0.12,25.464790894704002,False,0.0,0.0,-1000.0,1000.0
