Name,LHCb13
Comment,LHCb 13TeV
Reference,arXiv:1607.06495
Process type,DY
Number of points,14
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
LHCb13.0,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,1.1,0.0,2.2,5.55,0.11,0.15,0.22,0.45454545454545453,True,20.0,20.0,2.0,4.5
LHCb13.1,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,2.8,2.2,3.4,11.01,0.21,0.29,0.43,0.8333333333333335,True,20.0,20.0,2.0,4.5
LHCb13.2,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,4.0,3.4,4.6,11.36,0.21,0.3,0.44,0.8333333333333335,True,20.0,20.0,2.0,4.5
LHCb13.3,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,5.199999999999999,4.6,5.8,11.06,0.21,0.29,0.43,0.8333333333333333,True,20.0,20.0,2.0,4.5
LHCb13.4,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,6.5,5.8,7.2,9.93,0.18,0.26,0.39,0.7142857142857141,True,20.0,20.0,2.0,4.5
LHCb13.5,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,7.949999999999999,7.2,8.7,8.86,0.16,0.23,0.35,0.6666666666666671,True,20.0,20.0,2.0,4.5
LHCb13.6,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,9.6,8.7,10.5,7.22,0.13,0.19,0.28,0.5555555555555554,True,20.0,20.0,2.0,4.5
LHCb13.7,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,11.65,10.5,12.8,6.48,0.11,0.18,0.25,0.43478260869565205,True,20.0,20.0,2.0,4.5
LHCb13.8,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,14.100000000000001,12.8,15.4,5.28,0.09,0.14,0.21,0.3846153846153847,True,20.0,20.0,2.0,4.5
LHCb13.9,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,17.2,15.4,19.0,4.29,0.07,0.12,0.17,0.2777777777777778,True,20.0,20.0,2.0,4.5
LHCb13.10,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,21.75,19.0,24.5,2.88,0.05,0.08,0.11,0.18181818181818182,True,20.0,20.0,2.0,4.5
LHCb13.11,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,29.25,24.5,34.0,1.76,0.029,0.046,0.069,0.10526315789473684,True,20.0,20.0,2.0,4.5
LHCb13.12,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,48.5,34.0,63.0,0.709,0.011,0.018,0.028,0.034482758620689655,True,20.0,20.0,2.0,4.5
LHCb13.13,1 - 1 - 5,169000000.0,91.0,60.0,120.0,3.25,2.0,4.5,166.5,63.0,270.0,0.0376,0.0009,0.001,0.0015,0.004830917874396135,True,20.0,20.0,2.0,4.5
