Name,PHE200
Comment,PHENIX 200GeV data
Reference,arXiv:1805.02448
Process type,DY
Number of points,12
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.12
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
PHE200.0,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,0.25,0.0,0.5,0.0119753,0.00336777,0.00174058,0.00143703,0.0012732395447351999,False,0.0,0.0,-1000.0,1000.0
PHE200.1,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,0.75,0.5,1.0,0.0131004,0.00199106,0.0016076,0.00157205,0.00042441318157839994,False,0.0,0.0,-1000.0,1000.0
PHE200.2,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,1.25,1.0,1.5,0.00748433,0.00130351,0.0012787,0.00089812,0.00025464790894703997,False,0.0,0.0,-1000.0,1000.0
PHE200.3,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,1.75,1.5,2.0,0.00621693,0.000931344,0.0009047675,0.000746031,0.00018189136353359998,False,0.0,0.0,-1000.0,1000.0
PHE200.4,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,2.25,2.0,2.5,0.00247626,0.000553445,0.0005222054999999999,0.000297151,0.0001414710605261333,False,0.0,0.0,-1000.0,1000.0
PHE200.5,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,2.75,2.5,3.0,0.00121947,0.000385587,0.00032589100000000003,0.000146337,0.0001157490495213818,False,0.0,0.0,-1000.0,1000.0
PHE200.6,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,3.25,3.0,3.5,0.000408077,0.000239309,0.00018168550000000001,4.89693e-05,9.794150344116922e-05,False,0.0,0.0,-1000.0,1000.0
PHE200.7,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,3.75,3.5,4.0,0.000687623,0.000197966,0.000112905,8.25148e-05,8.488263631567998e-05,False,0.0,0.0,-1000.0,1000.0
PHE200.8,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,4.25,4.0,4.5,0.000626905,0.000163993,7.711055e-05,7.52286e-05,7.489644380795292e-05,False,0.0,0.0,-1000.0,1000.0
PHE200.9,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,4.75,4.5,5.0,9.29229e-05,8.84363e-05,2.9477999999999998e-05,1.11508e-05,6.701260761764209e-05,False,0.0,0.0,-1000.0,1000.0
PHE200.10,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,5.25,5.0,5.5,9.47467e-05,6.6087e-05,2.132885e-05,1.13696e-05,6.0630454511199985e-05,False,0.0,0.0,-1000.0,1000.0
PHE200.11,1 - 1 - 5,40000.0,6.5,4.8,8.2,1.7000000000000002,1.2,2.2,5.75,5.5,6.0,0.000127027,6.63861e-05,1.897075e-05,1.52432e-05,5.5358241075443476e-05,False,0.0,0.0,-1000.0,1000.0
