Name,compass.d.h+
Comment,COMPASS isoscalar h+. thFactor contains DIS normalization
Reference,1709.07374
Process type,SIDIS
Number of points,2332
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h+.0,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.29953523924572845,0.282842712474619,0.31622776601683794,6.2719,0.3126,0.1051,0.0482543955284414,0.3480841026916406,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.1,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3313189637653067,0.31622776601683794,0.34641016151377546,6.2175,0.3135,0.1047,0.047835855832855184,0.3480841026916408,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.2,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3602879500955848,0.34641016151377546,0.37416573867739417,5.0537,0.2711,0.107,0.03888187609529557,0.3480841026916403,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.3,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3932381506195801,0.37416573867739417,0.41231056256176607,4.8854,0.2244,0.1067,0.037587018912075706,0.23205606846109375,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.4,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.429762079030862,0.41231056256176607,0.4472135954999579,4.1757,0.2275,0.1101,0.03212676850844445,0.23205606846109397,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.5,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.46339837391561495,0.4472135954999579,0.47958315233127197,4.0316,0.1921,0.1103,0.03101809993980522,0.23205606846109356,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.6,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.4995991973009676,0.47958315233127197,0.5196152422706632,3.2015,0.1547,0.1122,0.024631522709913287,0.17404205134582004,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.7,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.5336688998879147,0.5196152422706632,0.5477225575051661,2.6976,0.1663,0.1183,0.020754644904657844,0.23205606846109486,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.8,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.5696652679075638,0.5477225575051661,0.5916079783099616,2.2901,0.1188,0.1177,0.017619444059963272,0.13923364107665612,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.9,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.6120317551718187,0.5916079783099616,0.6324555320336759,2.062,0.1158,0.1213,0.01586450096137473,0.13923364107665612,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.10,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.6553442651731014,0.6324555320336759,0.6782329983125268,1.5304,0.0907,0.1255,0.011774506436124096,0.11602803423054688,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.11,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.6996716267026624,0.6782329983125268,0.7211102550927979,1.1934,0.075,0.1304,0.009181714571922697,0.11602803423054667,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.12,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.7478534621671407,0.7211102550927979,0.7745966692414834,0.8669,0.0599,0.134,0.006669707023964963,0.0870210256729102,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.13,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.7996088971825077,0.7745966692414834,0.8246211251235321,0.6784,0.0496,0.1398,0.0052194362037810945,0.0870210256729102,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.14,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.8482004569158335,0.8246211251235321,0.8717797887081347,0.5527,0.0461,0.1473,0.004252332532178377,0.08702102567291031,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.15,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.902258847008508,0.8717797887081347,0.9327379053088815,0.4254,0.0353,0.1529,0.0032729188695290058,0.06328801867120738,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.16,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.9663689526544408,0.9327379053088815,1.0,0.2882,0.0257,0.1618,0.002217337137278466,0.05355140041409851,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.17,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.029150262212918,1.0,1.0583005244258363,0.2032,0.0223,0.1753,0.0015633688629249976,0.05801401711527339,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.18,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.0859266984959204,1.0583005244258363,1.1135528725660044,0.1256,0.017,0.196,0.0009663342971623016,0.05801401711527339,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.19,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.1441434425065387,1.1135528725660044,1.174734012447073,0.1029,0.014,0.1988,0.0007916862991879048,0.04972630038452012,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.20,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.2038084065204342,1.174734012447073,1.2328828005937953,0.0603,0.0113,0.236,0.0004639327875707547,0.04972630038452012,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.21,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.2645154701376837,1.2328828005937953,1.296148139681572,0.0665,0.0109,0.2252,0.0005116340028765372,0.043510512836455156,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.22,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.328147595277558,1.296148139681572,1.3601470508735443,0.0368,0.0064,0.2385,0.0002831297940730311,0.04095107090489886,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.23,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.3959645786005899,1.3601470508735443,1.4317821063276353,0.0353,0.007,0.2579,0.00027158917746679335,0.03480841026916407,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.24,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.4823765390016121,1.4317821063276353,1.5329709716755893,0.0221,0.0051,0.3161,0.00017003175133190182,0.023205606846109356,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.25,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.58042651564278,1.5329709716755893,1.6278820596099706,0.0098,0.0028,0.3221,7.539869516075284e-05,0.023205606846109388,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.26,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.6799664335894238,1.6278820596099706,1.7320508075688772,0.0063,0.0022,0.3733,4.8470589746198255e-05,0.019890520153808055,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.27,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.29953523924572845,0.282842712474619,0.31622776601683794,6.9848,0.2818,0.0923,0.05302910359549663,0.3744104605008376,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.28,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3313189637653067,0.31622776601683794,0.34641016151377546,6.2763,0.2679,0.0955,0.047650120675812556,0.37441046050083787,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.29,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3602879500955848,0.34641016151377546,0.37416573867739417,6.0334,0.2721,0.0991,0.045806006418661865,0.3744104605008373,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.30,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3932381506195801,0.37416573867739417,0.41231056256176607,5.2609,0.2053,0.0978,0.03994113089931684,0.24960697366722512,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.31,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.429762079030862,0.41231056256176607,0.4472135954999579,4.781,0.2093,0.1025,0.0362976956090467,0.24960697366722534,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.32,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.46339837391561495,0.4472135954999579,0.47958315233127197,4.1809,0.1745,0.1035,0.031741693280038355,0.2496069736672249,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.33,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.4995991973009676,0.47958315233127197,0.5196152422706632,3.5405,0.1445,0.108,0.026879730454681,0.18720523025041852,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.34,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.5336688998879147,0.5196152422706632,0.5477225575051661,2.7929,0.1535,0.1143,0.021203897524891557,0.2496069736672263,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.35,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.5696652679075638,0.5477225575051661,0.5916079783099616,2.3253,0.1097,0.1165,0.01765384471861876,0.1497641842003349,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h+.36,1 - 1 - 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.6120317551718187,0.5916079783099616,0.6324555320336759,1.8064,0.0922,0.1233,0.013714318625430237,0.1497641842003349,True,0.1,0.9,25.0,10000.0,0.938,0.139
