Name,compass.d.h-
Comment,COMPASS isoscalar h-. thFactor contains DIS normalization
Reference,1709.07374
Process type,SIDIS
Number of points,2332
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h-.0,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.29953523924572845,0.282842712474619,0.31622776601683794,4.9485,0.266,0.1005,0.03807249418397811,0.3480841026916406,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.1,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3313189637653067,0.31622776601683794,0.34641016151377546,4.4538,0.2661,0.104,0.03426639882724092,0.3480841026916408,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.2,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3602879500955848,0.34641016151377546,0.37416573867739417,4.205,0.2496,0.1035,0.0323521952194863,0.3480841026916403,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.3,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3932381506195801,0.37416573867739417,0.41231056256176607,3.6758,0.1926,0.1033,0.028280665680805644,0.23205606846109375,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.4,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.429762079030862,0.41231056256176607,0.4472135954999579,3.1909,0.1831,0.1061,0.02454996901922921,0.23205606846109397,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.5,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.46339837391561495,0.4472135954999579,0.47958315233127197,2.9603,0.161,0.1078,0.02277579155963027,0.23205606846109356,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.6,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.4995991973009676,0.47958315233127197,0.5196152422706632,2.5549,0.1374,0.1077,0.01965674757818443,0.17404205134582004,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.7,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.5336688998879147,0.5196152422706632,0.5477225575051661,2.4182,0.155,0.1138,0.01860501271813597,0.23205606846109486,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.8,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.5696652679075638,0.5477225575051661,0.5916079783099616,1.9603,0.1086,0.1134,0.015082047155471815,0.13923364107665612,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.9,1 - 1 - 2113,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.6120317551718187,0.5916079783099616,0.6324555320336759,1.5636,0.0996,0.1174,0.012029938750342159,0.13923364107665612,True,0.1,0.9,25.0,10000.0,0.938,0.139
