Name,hermes.d.no-vmsub.zxpt.k+
Comment,HERMES deutron-to-k+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.no-vmsub.zxpt.k+.0,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.150202,0.1,0.2,0.1019364,0.0,0.15,0.4121839,0.02063518,0.1411684,0.013162809888697311,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.1,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1521749,0.1,0.2,0.2157791,0.15,0.25,0.8472117,0.02592909,0.3641869,0.027055124041914444,0.017244514167871063,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.2,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1522933,0.1,0.2,0.3227291,0.25,0.35,0.8627953,0.02533084,0.184723,0.027552775610016702,0.017244514167871067,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.3,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1556551,0.1,0.2,0.4371615,0.35,0.45,0.7587802,0.02621172,0.1496724,0.024231124796256533,0.017244514167871056,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.4,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1599346,0.1,0.2,0.5743694,0.45,0.6,0.5493931,0.02218661,0.02858321,0.01754449149872683,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.5,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.17092,0.1,0.2,0.807636,0.8,1.2,0.2406112,0.02257477,0.01196363,0.007683753496173252,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.6,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1983256,0.1,0.2,1.187806,0.8,1.2,0.03048251,0.01950654,0.001553014,0.0009734380310834913,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.7,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2266198,0.2,0.25,0.09980982,0.0,0.15,0.2972924,0.02334707,0.01522699,0.009493828707415686,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.8,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2301585,0.2,0.25,0.2060025,0.15,0.25,0.5262169,0.02843506,0.03076106,0.01680437546182576,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k+.9,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2341512,0.2,0.25,0.3121649,0.25,0.35,0.5598925,0.0272641,0.03321602,0.017879782630052896,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
