Name,hermes.d.no-vmsub.zxpt.k-
Comment,HERMES deutron-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,326
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.no-vmsub.zxpt.k-.0,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1489809,0.1,0.2,0.1041925,0.0,0.15,0.3026419,0.01757882,0.01391647,0.009664661317567578,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.1,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.150414,0.1,0.2,0.2112027,0.15,0.25,0.6206529,0.02200067,0.03084004,0.019820124292988305,0.017244514167871063,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.2,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1496407,0.1,0.2,0.3165891,0.25,0.35,0.7112633,0.02114547,0.03513904,0.02271370521436544,0.017244514167871067,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.3,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1480272,0.1,0.2,0.4154507,0.35,0.45,0.618099,0.02248948,0.02952971,0.019738567249700724,0.017244514167871056,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.4,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1542267,0.1,0.2,0.5577426,0.45,0.6,0.390477,0.01902238,0.01649467,0.012469614938644765,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.5,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1599041,0.1,0.2,0.7505442,0.6,0.8,0.2185481,0.0217606,0.006861583,0.006979183543646437,0.008622257083935528,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.6,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1418699,0.1,0.2,0.8875685,0.8,1.2,0.01005981,0.01863016,0.001304146,0.00032125312644772417,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.7,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2236557,0.2,0.25,0.09881244,0.0,0.15,0.1805082,0.01753821,0.006184597,0.005764405450943018,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.8,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2282167,0.2,0.25,0.2088893,0.15,0.25,0.3760297,0.02438609,0.01068195,0.012008250330990325,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.9,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2300192,0.2,0.25,0.30961,0.25,0.35,0.4243787,0.02241046,0.009958853,0.013552242455157782,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.10,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2284472,0.2,0.25,0.4082691,0.35,0.45,0.2983537,0.01750519,0.006197411,0.00952772059434983,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.11,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2331443,0.2,0.25,0.5417172,0.45,0.6,0.2334517,0.01256889,0.004107904,0.007455119778558061,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.12,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2328371,0.2,0.25,0.7169375,0.6,0.8,0.1203939,0.008512839,0.00199094,0.003844696547970057,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.13,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2623006,0.25,0.3,1.077359,0.8,1.2,0.03686855,0.006049287,0.0007563313,0.0011773718345668796,0.008622257083935535,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.14,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2759312,0.25,0.3,0.09772589,0.0,0.15,0.1015447,0.01474406,0.002828765,0.003242760285651142,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.15,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2808698,0.25,0.3,0.2091776,0.15,0.25,0.2319284,0.02023899,0.008540939,0.007406474238779694,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.16,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2822622,0.25,0.3,0.3096852,0.25,0.35,0.2970633,0.02027584,0.009982571,0.009486512556189253,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.17,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2804761,0.25,0.3,0.4106082,0.35,0.45,0.2593395,0.01635045,0.00703879,0.008281828899988127,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.18,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2825604,0.25,0.3,0.5349337,0.45,0.6,0.2279966,0.01137488,0.007256519,0.007280914904898918,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.19,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2849114,0.25,0.3,0.7114554,0.6,0.8,0.122981,0.007298801,0.00368648,0.003927313810466357,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.20,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2770301,0.25,0.3,0.9426606,0.8,1.2,0.03498351,0.003471298,0.001080328,0.0011171743762173664,0.008622257083935535,True,0.1,0.85,10.0,10000.0,0.938,0.494
