Name,hermes.d.no-vmsub.zxpt.pi-
Comment,HERMES deutron-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.no-vmsub.zxpt.pi-.0,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1519976,0.1,0.2,0.1107234,0.0,0.15,3.734283,0.04706197,0.4503234,0.11925176407810752,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.1,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1538399,0.1,0.2,0.2216789,0.15,0.25,7.590938,0.05935126,0.4724466,0.24241139396975037,0.017244514167871063,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.2,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1552639,0.1,0.2,0.3270037,0.25,0.35,8.305356,0.05732581,0.7383447,0.2652258423629636,0.017244514167871067,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.3,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1579656,0.1,0.2,0.4383999,0.35,0.45,6.633152,0.05668738,0.7481209,0.211825155564864,0.017244514167871056,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.4,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1600849,0.1,0.2,0.577428,0.45,0.6,4.05885,0.04767398,0.4541563,0.12961658841293675,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.5,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.165578,0.1,0.2,0.7804701,0.6,0.8,1.548736,0.04770512,0.1257154,0.0494578209769511,0.008622257083935528,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.6,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.170867,0.1,0.2,1.042909,0.8,1.2,0.319588,0.05241948,0.02586714,0.010205823387834887,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.7,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2294398,0.2,0.25,0.1046564,0.0,0.15,1.564174,0.04517096,0.3454196,0.04995082290900549,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.8,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2334364,0.2,0.25,0.213071,0.15,0.25,3.598019,0.06385918,0.4704496,0.11490026678121297,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.9,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2338915,0.2,0.25,0.3151613,0.25,0.35,4.286387,0.06139236,0.3381814,0.13688282630734389,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.10,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2369812,0.2,0.25,0.4228169,0.35,0.45,3.734109,0.05143162,0.2740225,0.1192462075075558,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.11,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2389495,0.2,0.25,0.5544828,0.45,0.6,2.539761,0.03424913,0.1044101,0.08110552402878368,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.12,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2429691,0.2,0.25,0.7408377,0.6,0.8,1.110393,0.0226336,0.0566984,0.035459638187566936,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.13,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2567773,0.25,0.3,1.062438,0.8,1.2,0.2129132,0.01325813,0.01106275,0.006799236880417183,0.008622257083935535,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.14,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2779576,0.25,0.3,0.1028189,0.0,0.15,1.020249,0.03812465,0.2492964,0.0325809514300135,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.15,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2813551,0.25,0.3,0.2094052,0.15,0.25,2.288641,0.05236637,0.3949076,0.07308617921873732,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.16,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2854558,0.25,0.3,0.3148921,0.25,0.35,2.899996,0.05637053,0.3460063,0.0926093814580886,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.17,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2867932,0.25,0.3,0.4183916,0.35,0.45,2.695602,0.04828757,0.2293164,0.08608219938137382,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.18,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2880971,0.25,0.3,0.5462103,0.45,0.6,1.960705,0.03060922,0.1674664,0.06261376818167391,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.no-vmsub.zxpt.pi-.19,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2927297,0.25,0.3,0.7302418,0.6,0.8,0.931145,0.01827272,0.07328596,0.029735476358516325,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.139
