Name,hermes.d.vmsub.zxpt.k+
Comment,HERMES deutron-to-k+ (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.vmsub.zxpt.k+.0,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.150202,0.1,0.2,0.1019364,0.0,0.15,0.4424125,0.02207802,0.151783,0.014128139478236046,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.1,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1521749,0.1,0.2,0.2157791,0.15,0.25,0.9090955,0.02778067,0.4091807,0.02903134071265332,0.017244514167871063,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.2,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1522933,0.1,0.2,0.3227291,0.25,0.35,0.9321638,0.02727522,0.2113537,0.029768011037126056,0.017244514167871067,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.3,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1556551,0.1,0.2,0.4371615,0.35,0.45,0.8217226,0.02828755,0.1336878,0.02624114713128306,0.017244514167871056,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.4,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1599346,0.1,0.2,0.5743694,0.45,0.6,0.5963618,0.02401037,0.04693696,0.019044404689948658,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.5,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.17092,0.1,0.2,0.807636,0.8,1.2,0.2628625,0.02454172,0.02026578,0.008394333486503711,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.6,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1983256,0.1,0.2,1.187806,0.8,1.2,0.03332094,0.02113448,0.002593743,0.0010640813445956764,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.7,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2266198,0.2,0.25,0.09980982,0.0,0.15,0.3128942,0.02470473,0.02444452,0.009992061480023927,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.8,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2301585,0.2,0.25,0.2060025,0.15,0.25,0.5686756,0.03050515,0.0333172,0.01816026489909207,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.9,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2341512,0.2,0.25,0.3121649,0.25,0.35,0.600426,0.02915858,0.03572515,0.019174192126938903,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.10,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2338468,0.2,0.25,0.4143029,0.35,0.45,0.503126,0.02311712,0.03069189,0.016066983421867576,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.11,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2359174,0.2,0.25,0.5476233,0.45,0.6,0.363298,0.01620914,0.0214174,0.01160167223160331,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.12,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2386537,0.2,0.25,0.7285609,0.6,0.8,0.1902227,0.01112222,0.03608477,0.006074631339590658,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.13,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2403588,0.2,0.25,1.01376,0.8,1.2,0.06420009,0.007690084,0.01217154,0.002050185801792009,0.008622257083935535,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.14,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2744497,0.25,0.3,0.1037242,0.0,0.15,0.2576008,0.02211805,0.1168746,0.008226304709078492,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.15,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2771796,0.25,0.3,0.2068321,0.15,0.25,0.4572999,0.02789726,0.08410191,0.014603558377268717,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.16,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2840068,0.25,0.3,0.311913,0.25,0.35,0.4725947,0.02661969,0.08674056,0.015091987315627657,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.17,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2868223,0.25,0.3,0.4151126,0.35,0.45,0.3679304,0.02148045,0.06767463,0.011749604745533139,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.18,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2899104,0.25,0.3,0.551154,0.45,0.6,0.3279927,0.01501942,0.09871761,0.010474221712639748,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.19,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2890327,0.25,0.3,0.7210283,0.6,0.8,0.1964214,0.01011869,0.008633775,0.006272582568780027,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.20,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2993468,0.25,0.3,1.013668,0.8,1.2,0.04321861,0.004425369,0.002023619,0.0013801566414499752,0.008622257083935535,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.21,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3353918,0.3,0.375,0.1019666,0.0,0.15,0.1810459,0.01421969,0.06599015,0.005781576531320376,0.015328457038107611,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.22,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3405483,0.3,0.375,0.2074192,0.15,0.25,0.3132223,0.01840041,0.08943405,0.010002539128288407,0.022992685557161417,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.23,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3424263,0.3,0.375,0.3076759,0.25,0.35,0.3753735,0.01851713,0.1074134,0.011987295034461366,0.02299268555716142,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.24,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3429929,0.3,0.375,0.4086269,0.35,0.45,0.4306538,0.01926434,0.169316,0.013752633465899744,0.022992685557161406,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.25,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3487519,0.3,0.375,0.5410553,0.45,0.6,0.296292,0.01178184,0.1165246,0.009461881620174644,0.015328457038107611,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.26,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3453851,0.3,0.375,0.710553,0.6,0.8,0.1584083,0.00733662,0.04171358,0.005058660315678827,0.011496342778580703,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k+.27,1 - 1 - 2012,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.3552542,0.3,0.375,1.00729,0.8,1.2,0.04799079,0.003034139,0.0126072,0.0015325529337230203,0.005748171389290355,True,0.1,0.85,10.0,10000.0,0.938,0.494
