Name,hermes.d.vmsub.zxpt.k-
Comment,HERMES deutron-to-k- (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,326
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.vmsub.zxpt.k-.0,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1489809,0.1,0.2,0.1041925,0.0,0.15,0.3225412,0.01873054,0.02668133,0.010300131802509261,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.1,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.150414,0.1,0.2,0.2112027,0.15,0.25,0.6676856,0.02359329,0.03316289,0.021322081280275133,0.017244514167871063,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.2,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1496407,0.1,0.2,0.3165891,0.25,0.35,0.7660444,0.02271189,0.03783569,0.02446310203649681,0.017244514167871067,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.3,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1480272,0.1,0.2,0.4154507,0.35,0.45,0.6684022,0.02421892,0.03193769,0.021344965409340434,0.017244514167871056,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.4,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1542267,0.1,0.2,0.5577426,0.45,0.6,0.4234956,0.02054772,0.01800103,0.013524041262892125,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.5,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1599041,0.1,0.2,0.7505442,0.6,0.8,0.2371752,0.02356075,0.007480734,0.00757402719493353,0.008622257083935528,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.6,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1418699,0.1,0.2,0.8875685,0.8,1.2,0.01081378,0.01995079,0.001362128,0.0003453306408091078,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.7,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2236557,0.2,0.25,0.09881244,0.0,0.15,0.1917543,0.01851999,0.006565161,0.006123541934171205,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.8,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2282167,0.2,0.25,0.2088893,0.15,0.25,0.3949782,0.02562604,0.01111152,0.012613357670641343,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.9,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2300192,0.2,0.25,0.30961,0.25,0.35,0.4497139,0.02371519,0.01055709,0.014361304674939108,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.10,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2284472,0.2,0.25,0.4082691,0.35,0.45,0.3185504,0.01865395,0.006552094,0.010172688344131063,0.03448902833574212,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.11,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2331443,0.2,0.25,0.5417172,0.45,0.6,0.2526555,0.01353694,0.004411067,0.00806837994844962,0.02299268555716143,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.12,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2328371,0.2,0.25,0.7169375,0.6,0.8,0.1313722,0.009238258,0.002098917,0.004195281022038757,0.01724451416787106,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.vmsub.zxpt.k-.13,1 - 1 - 2032,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2623006,0.25,0.3,1.077359,0.8,1.2,0.04009166,0.006559597,0.0008991526,0.0012802996398022593,0.008622257083935535,True,0.1,0.85,10.0,10000.0,0.938,0.494
