Name,hermes.d.vmsub.zxpt.pi-
Comment,HERMES deutron-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.vmsub.zxpt.pi-.0,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1519976,0.1,0.2,0.1107234,0.0,0.15,3.889816,0.04910913,0.5273999,0.12421860366213484,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.1,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1538399,0.1,0.2,0.2216789,0.15,0.25,7.74835,0.06094666,0.4965339,0.24743823812887358,0.017244514167871063,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.2,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1552639,0.1,0.2,0.3270037,0.25,0.35,8.614843,0.05956393,0.8337088,0.27510909724997706,0.017244514167871067,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.3,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1579656,0.1,0.2,0.4383999,0.35,0.45,7.040695,0.06003686,0.8840889,0.2248397614979666,0.017244514167871056,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.4,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1600849,0.1,0.2,0.577428,0.45,0.6,4.358895,0.05104697,0.5434803,0.13919831951173559,0.01149634277858071,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.5,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.165578,0.1,0.2,0.7804701,0.6,0.8,1.682686,0.05154773,0.1333441,0.053735422272370464,0.008622257083935528,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.6,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.170867,0.1,0.2,1.042909,0.8,1.2,0.3464875,0.05680621,0.02738106,0.011064840454248721,0.004311128541967767,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.7,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2294398,0.2,0.25,0.1046564,0.0,0.15,1.607095,0.04650115,0.3953339,0.051321475579410074,0.022992685557161423,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.8,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2334364,0.2,0.25,0.213071,0.15,0.25,3.595631,0.06425711,0.5176352,0.11482400764053763,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.d.vmsub.zxpt.pi-.9,1 - 1 - 2031,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2338915,0.2,0.25,0.3151613,0.25,0.35,4.209695,0.06085733,0.3469731,0.13443371993520278,0.03448902833574214,True,0.1,0.85,10.0,10000.0,0.938,0.139
