Name,hermes.p.no-vmsub.zxpt.k-
Comment,HERMES proton-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,324
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.k-.0,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1492554,0.1,0.2,0.1067939,0.0,0.15,0.2874711,0.02006785,0.02779402,0.008689432649190662,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.1,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1511672,0.1,0.2,0.213508,0.15,0.25,0.5791951,0.02503585,0.02982662,0.017507418353327517,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.2,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1518241,0.1,0.2,0.3168185,0.25,0.35,0.7039968,0.02425432,0.03610476,0.021279818315113233,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.3,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.151976,0.1,0.2,0.4237499,0.35,0.45,0.6270463,0.02491502,0.02765005,0.018953823851420897,0.016484491281939965,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.4,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1526828,0.1,0.2,0.5546972,0.45,0.6,0.4494353,0.02226225,0.01857339,0.013585149148971147,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.5,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.155791,0.1,0.2,0.7346679,0.6,0.8,0.1621317,0.02148063,0.004985833,0.004900779547748576,0.008242245640969982,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.6,1 - 1 - 2022,52.657444,1.1180456162429153,1.0,4.47213595499958,0.03758863,0.023,0.047,0.1478494,0.1,0.2,0.8994808,0.8,1.2,0.005983145,0.01754469,0.0001809396,0.0001808534336419969,0.004121122820484994,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.7,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2296836,0.2,0.25,0.1042003,0.0,0.15,0.1387471,0.01737857,0.004674829,0.0041939296879600135,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.8,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2252717,0.2,0.25,0.2044803,0.15,0.25,0.3973029,0.02670102,0.01413338,0.012009335167528607,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.9,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2328072,0.2,0.25,0.3144368,0.25,0.35,0.4104288,0.0249637,0.01160645,0.012406093742599322,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.10,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2333894,0.2,0.25,0.4157519,0.35,0.45,0.3867674,0.02260191,0.008461565,0.011690877007123792,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.11,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2332827,0.2,0.25,0.5441331,0.45,0.6,0.2706343,0.01422219,0.007793275,0.008180504135583926,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.12,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.236652,0.2,0.25,0.7277577,0.6,0.8,0.1384074,0.01018846,0.003968887,0.004183661524409207,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.13,1 - 1 - 2022,52.657444,1.1180456162429153,1.0,4.47213595499958,0.03758863,0.023,0.047,0.2470212,0.2,0.25,1.02915,0.8,1.2,0.03777216,0.007842878,0.000936174,0.0011417448235125323,0.008242245640969991,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.14,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2783266,0.25,0.3,0.1053194,0.0,0.15,0.1242235,0.01775717,0.00404088,0.0037549226224713934,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.15,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2760336,0.25,0.3,0.2048223,0.15,0.25,0.2425164,0.02029843,0.00950988,0.0073305800970051675,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.16,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2804486,0.25,0.3,0.3086946,0.25,0.35,0.2619652,0.02110887,0.01032489,0.007918461931762051,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k-.17,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2769213,0.25,0.3,0.4040598,0.35,0.45,0.2639177,0.01800813,0.01152126,0.007977480446136345,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.494
