Name,hermes.p.no-vmsub.zxpt.pi+
Comment,HERMES proton-to-pi+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,336
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.pi+.0,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1522018,0.1,0.2,0.1105712,0.0,0.15,4.212991,0.05504497,0.3325804,0.12734671953509905,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.1,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.154622,0.1,0.2,0.2217933,0.15,0.25,8.554177,0.0697677,0.2981171,0.2585684088270293,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.2,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1560952,0.1,0.2,0.327693,0.25,0.35,9.295616,0.06783426,0.5397898,0.28097999821456526,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.3,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.159801,0.1,0.2,0.4409912,0.35,0.45,7.393123,0.06698853,0.5195182,0.22347305303274803,0.016484491281939965,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.4,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1624893,0.1,0.2,0.5817642,0.45,0.6,4.44946,0.05525705,0.2818075,0.13449450395280738,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.5,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1678483,0.1,0.2,0.792604,0.6,0.8,1.674367,0.05499484,0.08948967,0.05061134589364782,0.008242245640969982,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.6,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1928145,0.1,0.2,1.188888,0.8,1.2,0.2125564,0.05348706,0.01152146,0.006424974621638244,0.004121122820484994,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.7,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2295056,0.2,0.25,0.1030673,0.0,0.15,2.188401,0.05565527,0.04405666,0.06614912976964116,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.8,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2340181,0.2,0.25,0.2126745,0.15,0.25,4.085732,0.07488524,0.2153029,0.12350004239258507,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.9,1 - 1 - 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2356541,0.2,0.25,0.3168787,0.25,0.35,5.037922,0.07405649,0.1549192,0.15228203430145124,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.139
