Name,hermes.p.no-vmsub.zxpt.pi-
Comment,HERMES proton-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.pi-.0,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.152031,0.1,0.2,0.1096793,0.0,0.15,3.641533,0.0525766,0.9517452,0.1100731716798844,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.1,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1546214,0.1,0.2,0.2226928,0.15,0.25,7.733573,0.06863808,0.745388,0.23376388694759012,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.2,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1562146,0.1,0.2,0.3295033,0.25,0.35,8.421257,0.06557679,0.212208,0.25455061577676996,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.3,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1595915,0.1,0.2,0.4420025,0.35,0.45,6.61693,0.06408729,0.6902392,0.20001094920292567,0.016484491281939965,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.4,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1627369,0.1,0.2,0.5859958,0.45,0.6,3.83095,0.05252037,0.631064,0.11579870813941633,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.5,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.168528,0.1,0.2,0.791671,0.6,0.8,1.516277,0.05341907,0.2495758,0.04583273542633284,0.008242245640969982,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.6,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2224191,0.2,0.25,1.357048,0.8,1.2,0.1631877,0.05294698,0.0268748,0.004932699420311575,0.008242245640969991,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.7,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2298026,0.2,0.25,0.1027844,0.0,0.15,1.605554,0.05024858,0.06766421,0.048531324879748476,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.8,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2371517,0.2,0.25,0.2167211,0.15,0.25,3.681934,0.07193686,0.9713948,0.11129437884978757,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.9,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2375678,0.2,0.25,0.3192526,0.25,0.35,4.296647,0.06846185,0.600022,0.12987540216685123,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.10,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.237648,0.2,0.25,0.4232715,0.35,0.45,3.837028,0.05820992,0.2125929,0.11598242876956587,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.11,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2416315,0.2,0.25,0.5579382,0.45,0.6,2.573141,0.03814296,0.09083105,0.07777872424870225,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.12,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2498273,0.2,0.25,0.7621706,0.6,0.8,1.038385,0.02467703,0.04439894,0.03138742127966896,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.13,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2610851,0.25,0.3,1.073937,0.8,1.2,0.2228379,0.01428059,0.01037566,0.006735755085422792,0.008242245640969991,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.14,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2759505,0.25,0.3,0.1014392,0.0,0.15,1.071126,0.04286143,0.04287723,0.0323770884648822,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.15,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2831545,0.25,0.3,0.2099467,0.15,0.25,2.122906,0.05788833,0.2203608,0.06416940244623807,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.16,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2866118,0.25,0.3,0.3165897,0.25,0.35,2.732158,0.05998576,0.5383417,0.082585355285966,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.17,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2871796,0.25,0.3,0.418118,0.35,0.45,2.612938,0.05170059,0.3024826,0.07898167421876826,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.18,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.290892,0.25,0.3,0.5500828,0.45,0.6,1.921104,0.0332597,0.09554088,0.05806950270858802,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.19,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2955003,0.25,0.3,0.7398435,0.6,0.8,0.886988,0.01991157,0.02611701,0.026811121141013226,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.139
