Name,hermes.p.vmsub.zxpt.k+
Comment,HERMES proton-to-k+ (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,334
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.vmsub.zxpt.k+.0,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1517822,0.1,0.2,0.1045042,0.0,0.15,0.4605952,0.02500453,0.202601,0.013922481143114916,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.1,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1510978,0.1,0.2,0.2130929,0.15,0.25,0.9250174,0.03153814,0.2155386,0.027960641597118658,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.2,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1555415,0.1,0.2,0.3257736,0.25,0.35,1.001128,0.0306892,0.06813981,0.030261248275805633,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.3,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1548745,0.1,0.2,0.4361345,0.35,0.45,0.8644396,0.03135082,0.1802745,0.026129547225767446,0.016484491281939965,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.4,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1593262,0.1,0.2,0.577714,0.45,0.6,0.6087434,0.02743413,0.2204129,0.01840057931019616,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.5,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1570191,0.1,0.2,0.7425539,0.6,0.8,0.3059628,0.02854099,0.1169617,0.00924838407672212,0.008242245640969982,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.6,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1747199,0.1,0.2,1.012328,0.8,1.2,0.0542939,0.03362217,0.02075511,0.0016411499705949323,0.004121122820484994,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.7,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2283779,0.2,0.25,0.09910979,0.0,0.15,0.3318709,0.02770919,0.06871946,0.010031512154704558,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.8,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2301947,0.2,0.25,0.2100173,0.15,0.25,0.6468696,0.03627413,0.06620569,0.019553025754619868,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.9,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2309547,0.2,0.25,0.3074415,0.25,0.35,0.664397,0.0328015,0.2074024,0.020082829139431158,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.10,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2326686,0.2,0.25,0.4123093,0.35,0.45,0.5507664,0.02635609,0.2711555,0.01664809971589215,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.11,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2393137,0.2,0.25,0.553116,0.45,0.6,0.4181532,0.01942655,0.2058351,0.012639580355881174,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.12,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2383969,0.2,0.25,0.7319698,0.6,0.8,0.1975887,0.01279214,0.09718587,0.005972543677924978,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k+.13,1 - 1 - 2002,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2566289,0.25,0.3,1.05627,0.8,1.2,0.06112868,0.008732074,0.0300803,0.0018477459048715792,0.008242245640969991,True,0.1,0.85,10.0,10000.0,0.938,0.494
