Name,hermes.p.vmsub.zxpt.k-
Comment,HERMES proton-to-k- (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,324
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.vmsub.zxpt.k-.0,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1492554,0.1,0.2,0.1067939,0.0,0.15,0.3051428,0.02131771,0.02944266,0.009223597812042518,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.1,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1511672,0.1,0.2,0.213508,0.15,0.25,0.6212497,0.02676667,0.03197122,0.018778609141857753,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.2,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1518241,0.1,0.2,0.3168185,0.25,0.35,0.7556105,0.02597213,0.03875802,0.022839953472788325,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.3,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.151976,0.1,0.2,0.4237499,0.35,0.45,0.6751837,0.02674908,0.02986723,0.020408880360430502,0.016484491281939965,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.4,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1526828,0.1,0.2,0.5546972,0.45,0.6,0.4855115,0.02397416,0.02012344,0.014675629931695853,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.5,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.155791,0.1,0.2,0.7346679,0.6,0.8,0.1755755,0.0231866,0.005411024,0.005307147334455446,0.008242245640969982,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.6,1 - 1 - 2022,52.657444,1.1180456162429153,1.0,4.47213595499958,0.03758863,0.023,0.047,0.1478494,0.1,0.2,0.8994808,0.8,1.2,0.006235925,0.0187349,0.0001899785,0.00018849425313676496,0.004121122820484994,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.7,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2296836,0.2,0.25,0.1042003,0.0,0.15,0.1464346,0.01829461,0.005096087,0.0044263009193312814,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.8,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2252717,0.2,0.25,0.2044803,0.15,0.25,0.4157178,0.0279749,0.01530398,0.012565965149782757,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.vmsub.zxpt.k-.9,1 - 1 - 2022,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2328072,0.2,0.25,0.3144368,0.25,0.35,0.4338104,0.02633766,0.01213569,0.01311285292093174,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.494
