Name,hermes.p.vmsub.zxpt.pi-
Comment,HERMES proton-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.vmsub.zxpt.pi-.0,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.152031,0.1,0.2,0.1096793,0.0,0.15,3.786258,0.05478082,0.9643949,0.11444779626007393,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.1,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1546214,0.1,0.2,0.2226928,0.15,0.25,7.871387,0.07033661,0.7853131,0.23792961167997387,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.2,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1562146,0.1,0.2,0.3295033,0.25,0.35,8.698135,0.06793105,0.220046,0.26291984918159783,0.016484491281939975,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.3,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1595915,0.1,0.2,0.4420025,0.35,0.45,6.991761,0.06762931,0.7099162,0.21134102283234021,0.016484491281939965,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.4,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1627369,0.1,0.2,0.5859958,0.45,0.6,4.099734,0.05606071,0.656737,0.12392328297556529,0.010989660854626649,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.5,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.168528,0.1,0.2,0.791671,0.6,0.8,1.644273,0.05761473,0.263542,0.04970168997990643,0.008242245640969982,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.6,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2224191,0.2,0.25,1.357048,0.8,1.2,0.1773034,0.05739303,0.02843709,0.005359376830479695,0.008242245640969991,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.7,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2298026,0.2,0.25,0.1027844,0.0,0.15,1.638068,0.05151984,0.07078254,0.049514130501446756,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.8,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2371517,0.2,0.25,0.2167211,0.15,0.25,3.688947,0.07241436,0.9506896,0.11150636186710228,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.9,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2375678,0.2,0.25,0.3192526,0.25,0.35,4.219037,0.06784803,0.5716395,0.12752947289638306,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.10,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.237648,0.2,0.25,0.4232715,0.35,0.45,3.91389,0.05939661,0.2103826,0.11830574813030192,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.11,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2416315,0.2,0.25,0.5579382,0.45,0.6,2.709557,0.04008398,0.09391295,0.08190219142252249,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.12,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2498273,0.2,0.25,0.7621706,0.6,0.8,1.112358,0.02634734,0.04727058,0.0336234143981375,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.13,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2610851,0.25,0.3,1.073937,0.8,1.2,0.243012,0.01548009,0.01124651,0.007345560673560302,0.008242245640969991,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.14,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2759505,0.25,0.3,0.1014392,0.0,0.15,1.090305,0.04358672,0.04466414,0.032956815014016455,0.021979321709253305,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.15,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2831545,0.25,0.3,0.2099467,0.15,0.25,2.076165,0.0570564,0.2208801,0.06275655513234872,0.03296898256387996,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.16,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2866118,0.25,0.3,0.3165897,0.25,0.35,2.577073,0.05740177,0.4931541,0.07789757741055614,0.032968982563879964,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.17,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2871796,0.25,0.3,0.418118,0.35,0.45,2.56039,0.05081619,0.2884656,0.07739329783293443,0.032968982563879944,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.18,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.290892,0.25,0.3,0.5500828,0.45,0.6,1.98703,0.03426858,0.09699928,0.060062257934523924,0.02197932170925331,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.19,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2955003,0.25,0.3,0.7398435,0.6,0.8,0.9388175,0.02102778,0.02781327,0.028377779318100337,0.016484491281939972,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.vmsub.zxpt.pi-.20,1 - 1 - 2021,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.3014583,0.3,0.375,1.01777,0.8,1.2,0.1792868,0.008563997,0.006063206,0.005419329363852284,0.0054948304273133245,True,0.1,0.85,10.0,10000.0,0.938,0.139
