Name,LHC13TeV-Empty
Comment,Empty set for LHC at 13 TeV
Reference,AV
Process type,DY
Number of points,1134
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
0,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,0.505,0.01,1.0,100.0,1.0,2.0202020202020203,True,20.0,20.0,-2.4,2.4
1,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,1.5,1.0,2.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
2,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,2.5,2.0,3.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
3,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,3.5,3.0,4.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
4,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,4.5,4.0,5.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
5,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,5.5,5.0,6.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
6,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,6.5,6.0,7.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
7,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,7.5,7.0,8.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
8,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,9.0,8.0,10.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
9,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,11.0,10.0,12.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
10,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,13.0,12.0,14.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
11,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,15.0,14.0,16.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
12,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,18.0,16.0,20.0,100.0,1.0,0.5,True,20.0,20.0,-2.4,2.4
13,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,22.0,20.0,24.0,100.0,1.0,0.5,True,20.0,20.0,-2.4,2.4
14,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,26.0,24.0,28.0,100.0,1.0,0.5,True,20.0,20.0,-2.4,2.4
15,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,32.0,28.0,36.0,100.0,1.0,0.25,True,20.0,20.0,-2.4,2.4
16,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,39.0,36.0,42.0,100.0,1.0,0.3333333333333333,True,20.0,20.0,-2.4,2.4
17,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,46.0,42.0,50.0,100.0,1.0,0.25,True,20.0,20.0,-2.4,2.4
18,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,55.0,50.0,60.0,100.0,1.0,0.2,True,20.0,20.0,-2.4,2.4
19,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,67.5,60.0,75.0,100.0,1.0,0.13333333333333333,True,20.0,20.0,-2.4,2.4
20,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.2,0.0,0.4,82.5,75.0,90.0,100.0,1.0,0.13333333333333333,True,20.0,20.0,-2.4,2.4
21,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,0.505,0.01,1.0,100.0,1.0,2.0202020202020203,True,20.0,20.0,-2.4,2.4
22,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,1.5,1.0,2.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
23,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,2.5,2.0,3.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
24,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,3.5,3.0,4.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
25,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,4.5,4.0,5.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
26,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,5.5,5.0,6.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
27,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,6.5,6.0,7.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
28,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,7.5,7.0,8.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
29,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,9.0,8.0,10.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
30,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,11.0,10.0,12.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
31,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,13.0,12.0,14.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
32,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,15.0,14.0,16.0,100.0,1.0,1.0,True,20.0,20.0,-2.4,2.4
33,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,18.0,16.0,20.0,100.0,1.0,0.5,True,20.0,20.0,-2.4,2.4
34,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,22.0,20.0,24.0,100.0,1.0,0.5,True,20.0,20.0,-2.4,2.4
35,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,26.0,24.0,28.0,100.0,1.0,0.5,True,20.0,20.0,-2.4,2.4
36,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,32.0,28.0,36.0,100.0,1.0,0.25,True,20.0,20.0,-2.4,2.4
37,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,39.0,36.0,42.0,100.0,1.0,0.3333333333333333,True,20.0,20.0,-2.4,2.4
38,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,46.0,42.0,50.0,100.0,1.0,0.25,True,20.0,20.0,-2.4,2.4
39,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,55.0,50.0,60.0,100.0,1.0,0.2,True,20.0,20.0,-2.4,2.4
40,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,67.5,60.0,75.0,100.0,1.0,0.13333333333333333,True,20.0,20.0,-2.4,2.4
41,1 - 1 - 5,169000000.0,37.5,30.0,45.0,0.6000000000000001,0.4,0.8,82.5,75.0,90.0,100.0,1.0,0.13333333333333333,True,20.0,20.0,-2.4,2.4
42,1 - 1 - 5,169000000.0,37.5,30.0,45.0,1.0,0.8,1.2,0.505,0.01,1.0,100.0,1.0,2.0202020202020203,True,20.0,20.0,-2.4,2.4
43,1 - 1 - 5,169000000.0,37.5,30.0,45.0,1.0,0.8,1.2,1.5,1.0,2.0,100.0,1.0,2.0,True,20.0,20.0,-2.4,2.4
